workload,cache_mb,hit,miss,hit_rate
Gaussian_s10,32,79956,15223,84.0059
Gaussian_s05,32,93402,6375,93.6108
Zipfian_a10,32,88389,9760,90.0559
Zipfian_a05,32,60605,29178,67.5016
Hotspot_8020,32,80604,14707,84.5695
Hotspot_9505,32,95421,3611,96.3537
