workload,cache_mb,hit,miss,hit_rate
Gaussian_s10,4,50834,44285,53.4425
Gaussian_s10,8,56051,39077,58.9217
Gaussian_s10,16,65792,29335,69.1623
Gaussian_s10,32,79657,15452,83.7534
Gaussian_s10,64,83898,11224,88.2004
Gaussian_s10,128,83924,11194,88.2315
Gaussian_s10,256,83924,11194,88.2315
