RocksDB:    version 11.3.0
Date:       Tue May 26 10:11:58 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-10:11:59  ... thread 0: (33000,33000) ops and (32993.8,32993.8) ops/second in (1.000189,1.000189) seconds
2026/05/26-10:11:59  ... thread 1: (32000,32000) ops and (31764.5,31764.5) ops/second in (1.007413,1.007413) seconds
2026/05/26-10:11:59  ... thread 3: (34000,34000) ops and (33224.0,33224.0) ops/second in (1.023356,1.023356) seconds
2026/05/26-10:11:59  ... thread 2: (35000,35000) ops and (34079.8,34079.8) ops/second in (1.027002,1.027002) seconds
2026/05/26-10:12:00  ... thread 1: (30000,62000) ops and (29787.7,30776.3) ops/second in (1.007126,2.014539) seconds
2026/05/26-10:12:00  ... thread 0: (27000,60000) ops and (26576.5,29760.1) ops/second in (1.015935,2.016124) seconds
2026/05/26-10:12:00  ... thread 3: (32000,66000) ops and (31361.2,32294.0) ops/second in (1.020368,2.043724) seconds
2026/05/26-10:12:00  ... thread 2: (34000,69000) ops and (33298.7,33690.4) ops/second in (1.021062,2.048064) seconds
2026/05/26-10:12:02  ... thread 0: (28000,88000) ops and (16624.9,23781.6) ops/second in (1.684217,3.700341) seconds
2026/05/26-10:12:02  ... thread 2: (31000,100000) ops and (18568.1,26899.1) ops/second in (1.669527,3.717591) seconds
2026/05/26-10:12:02  ... thread 1: (30000,92000) ops and (17591.9,24732.1) ops/second in (1.705326,3.719865) seconds
2026/05/26-10:12:02  ... thread 3: (29000,95000) ops and (17235.6,25494.5) ops/second in (1.682565,3.726289) seconds
2026/05/26-10:12:03  ... thread 1: (14000,106000) ops and (11619.3,21523.9) ops/second in (1.204893,4.924758) seconds
2026/05/26-10:12:03  ... thread 0: (16000,104000) ops and (13050.0,21110.8) ops/second in (1.226052,4.926393) seconds
2026/05/26-10:12:03  ... thread 2: (16000,116000) ops and (13174.1,23519.4) ops/second in (1.214507,4.932098) seconds
2026/05/26-10:12:03  ... thread 3: (16000,111000) ops and (13177.0,22467.2) ops/second in (1.214241,4.940530) seconds
2026/05/26-10:12:04  ... thread 1: (31000,137000) ops and (29434.7,22917.6) ops/second in (1.053179,5.977937) seconds
2026/05/26-10:12:04  ... thread 0: (35000,139000) ops and (32868.4,23200.5) ops/second in (1.064851,5.991244) seconds
2026/05/26-10:12:04  ... thread 2: (27000,143000) ops and (25281.8,23833.1) ops/second in (1.067964,6.000062) seconds
2026/05/26-10:12:04  ... thread 3: (32000,143000) ops and (30169.1,23828.5) ops/second in (1.060688,6.001218) seconds
2026/05/26-10:12:05  ... thread 0: (17000,156000) ops and (13875.3,21617.3) ops/second in (1.225197,7.216441) seconds
2026/05/26-10:12:05  ... thread 2: (16000,159000) ops and (13012.8,21992.8) ops/second in (1.229561,7.229623) seconds
2026/05/26-10:12:05  ... thread 3: (15000,158000) ops and (12135.8,21831.6) ops/second in (1.236013,7.237231) seconds
