RocksDB:    version 11.3.0
Date:       Tue May 26 11:49:14 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-11:49:15  ... thread 0: (34000,34000) ops and (33859.7,33859.7) ops/second in (1.004143,1.004143) seconds
2026/05/26-11:49:15  ... thread 2: (47000,47000) ops and (46595.2,46595.2) ops/second in (1.008687,1.008687) seconds
2026/05/26-11:49:15  ... thread 3: (37000,37000) ops and (36330.5,36330.5) ops/second in (1.018427,1.018427) seconds
2026/05/26-11:49:15  ... thread 1: (34000,34000) ops and (33015.5,33015.5) ops/second in (1.029818,1.029818) seconds
2026/05/26-11:49:16  ... thread 0: (34000,68000) ops and (33365.0,33610.6) ops/second in (1.019031,2.023174) seconds
2026/05/26-11:49:16  ... thread 2: (37000,84000) ops and (36506.6,41538.9) ops/second in (1.013515,2.022202) seconds
2026/05/26-11:49:16  ... thread 3: (37000,74000) ops and (36518.3,36424.2) ops/second in (1.013190,2.031617) seconds
2026/05/26-11:49:16  ... thread 1: (32000,66000) ops and (31833.6,32431.7) ops/second in (1.005226,2.035044) seconds
2026/05/26-11:49:17  ... thread 1: (17000,83000) ops and (14064.3,25587.5) ops/second in (1.208731,3.243775) seconds
2026/05/26-11:49:17  ... thread 2: (21000,105000) ops and (17173.9,32357.6) ops/second in (1.222785,3.244987) seconds
2026/05/26-11:49:17  ... thread 0: (19000,87000) ops and (15300.5,26646.6) ops/second in (1.241786,3.264960) seconds
2026/05/26-11:49:17  ... thread 3: (19000,93000) ops and (15271.2,28390.1) ops/second in (1.244172,3.275789) seconds
2026/05/26-11:49:18  ... thread 0: (16000,103000) ops and (14328.6,23507.4) ops/second in (1.116646,4.381606) seconds
2026/05/26-11:49:18  ... thread 2: (16000,121000) ops and (14057.5,27605.6) ops/second in (1.138180,4.383167) seconds
2026/05/26-11:49:18  ... thread 3: (15000,108000) ops and (13492.6,24615.3) ops/second in (1.111724,4.387513) seconds
2026/05/26-11:49:18  ... thread 1: (14000,97000) ops and (11813.4,21901.7) ops/second in (1.185095,4.428870) seconds
2026/05/26-11:49:19  ... thread 0: (31000,134000) ops and (30065.8,24756.7) ops/second in (1.031073,5.412679) seconds
2026/05/26-11:49:19  ... thread 2: (33000,154000) ops and (31983.7,28439.8) ops/second in (1.031777,5.414944) seconds
2026/05/26-11:49:19  ... thread 3: (30000,138000) ops and (28358.8,25342.6) ops/second in (1.057873,5.445386) seconds
2026/05/26-11:49:19  ... thread 1: (31000,128000) ops and (29262.3,23322.5) ops/second in (1.059382,5.488252) seconds
2026/05/26-11:49:21  ... thread 3: (34000,172000) ops and (23308.9,24912.9) ops/second in (1.458668,6.904054) seconds
2026/05/26-11:49:21  ... thread 0: (34000,168000) ops and (22576.4,24282.1) ops/second in (1.506000,6.918679) seconds
2026/05/26-11:49:21  ... thread 2: (30000,184000) ops and (19959.9,26597.4) ops/second in (1.503015,6.917959) seconds
2026/05/26-11:49:21  ... thread 1: (27000,155000) ops and (18706.5,22361.3) ops/second in (1.443351,6.931603) seconds
2026/05/26-11:49:22  ... thread 0: (13000,181000) ops and (10905.8,22316.2) ops/second in (1.192022,8.110701) seconds
2026/05/26-11:49:22  ... thread 3: (15000,187000) ops and (12410.5,23050.3) ops/second in (1.208654,8.112708) seconds
2026/05/26-11:49:22  ... thread 1: (18000,173000) ops and (15208.5,21318.2) ops/second in (1.183546,8.115149) seconds
2026/05/26-11:49:22  ... thread 2: (16000,200000) ops and (13361.4,24644.4) ops/second in (1.197476,8.115435) seconds
2026/05/26-11:49:23  ... thread 0: (20000,201000) ops and (16471.1,21555.1) ops/second in (1.214250,9.324951) seconds
2026/05/26-11:49:23  ... thread 1: (16000,189000) ops and (13183.0,20259.8) ops/second in (1.213686,9.328835) seconds
2026/05/26-11:49:23  ... thread 2: (13000,213000) ops and (10730.5,22837.1) ops/second in (1.211502,9.326937) seconds
2026/05/26-11:49:23  ... thread 3: (13000,200000) ops and (10600.5,21415.4) ops/second in (1.226357,9.339065) seconds
2026/05/26-11:49:24  ... thread 0: (16000,217000) ops and (15902.2,21004.5) ops/second in (1.006148,10.331099) seconds
2026/05/26-11:49:24  ... thread 3: (15000,215000) ops and (14928.6,20785.3) ops/second in (1.004781,10.343846) seconds
2026/05/26-11:49:24  ... thread 2: (19000,232000) ops and (18683.4,22428.7) ops/second in (1.016943,10.343880) seconds
2026/05/26-11:49:24  ... thread 1: (17000,206000) ops and (16491.4,19884.8) ops/second in (1.030843,10.359678) seconds
2026/05/26-11:49:25  ... thread 2: (15000,247000) ops and (13664.1,21587.8) ops/second in (1.097766,11.441646) seconds
2026/05/26-11:49:25  ... thread 1: (10000,216000) ops and (9144.4,18859.3) ops/second in (1.093562,11.453240) seconds
2026/05/26-11:49:25  ... thread 0: (13000,230000) ops and (11481.1,20063.9) ops/second in (1.132293,11.463392) seconds
2026/05/26-11:49:25  ... thread 3: (19000,234000) ops and (16590.0,20367.1) ops/second in (1.145271,11.489117) seconds
2026/05/26-11:49:27  ... thread 1: (27000,243000) ops and (16636.5,18583.4) ops/second in (1.622941,13.076181) seconds
2026/05/26-11:49:27  ... thread 2: (32000,279000) ops and (19275.3,21294.8) ops/second in (1.660157,13.101803) seconds
2026/05/26-11:49:28  ... thread 3: (33000,267000) ops and (14715.7,19444.2) ops/second in (2.242507,13.731624) seconds
2026/05/26-11:49:28  ... thread 0: (33000,263000) ops and (13667.9,18951.1) ops/second in (2.414424,13.877816) seconds
2026/05/26-11:49:28  ... thread 2: (4000,283000) ops and (3778.0,19985.1) ops/second in (1.058766,14.160569) seconds
2026/05/26-11:49:28  ... thread 1: (2000,245000) ops and (1424.5,16919.7) ops/second in (1.403998,14.480179) seconds
2026/05/26-11:49:29  ... thread 3: (3000,270000) ops and (2490.9,18077.1) ops/second in (1.204361,14.935985) seconds
2026/05/26-11:49:29  ... thread 2: (2000,285000) ops and (1737.2,18613.0) ops/second in (1.151305,15.311874) seconds
2026/05/26-11:49:29  ... thread 0: (2000,265000) ops and (1328.3,17226.2) ops/second in (1.505740,15.383556) seconds
2026/05/26-11:49:30  ... thread 1: (3000,248000) ops and (2621.6,15872.5) ops/second in (1.144337,15.624516) seconds
2026/05/26-11:49:30  ... thread 3: (1000,271000) ops and (716.8,16594.1) ops/second in (1.395154,16.331139) seconds
2026/05/26-11:49:30  ... thread 2: (1000,286000) ops and (919.9,17440.1) ops/second in (1.087117,16.398991) seconds
2026/05/26-11:49:30  ... thread 0: (4000,269000) ops and (3893.6,16391.6) ops/second in (1.027316,16.410872) seconds
2026/05/26-11:49:31  ... thread 1: (9000,257000) ops and (8988.7,15457.9) ops/second in (1.001258,16.625774) seconds
2026/05/26-11:49:32  ... thread 0: (27000,296000) ops and (21076.3,16730.8) ops/second in (1.281059,17.691931) seconds
2026/05/26-11:49:32  ... thread 3: (24000,295000) ops and (17611.1,16672.4) ops/second in (1.362777,17.693916) seconds
2026/05/26-11:49:32  ... thread 1: (16000,273000) ops and (14815.7,15418.8) ops/second in (1.079937,17.705711) seconds
2026/05/26-11:49:32  ... thread 2: (26000,312000) ops and (19951.7,17625.0) ops/second in (1.303150,17.702141) seconds
2026/05/26-11:49:33  ... thread 0: (17000,313000) ops and (16292.0,16706.4) ops/second in (1.043457,18.735388) seconds
2026/05/26-11:49:33  ... thread 2: (15000,327000) ops and (14491.1,17451.9) ops/second in (1.035121,18.737262) seconds
2026/05/26-11:49:33  ... thread 1: (15000,288000) ops and (14465.4,15366.0) ops/second in (1.036956,18.742667) seconds
2026/05/26-11:49:33  ... thread 3: (15000,310000) ops and (14301.7,16539.7) ops/second in (1.048824,18.742740) seconds
2026/05/26-11:49:35  ... thread 1: (31000,319000) ops and (14367.3,15262.9) ops/second in (2.157672,20.900339) seconds
2026/05/26-11:49:35  ... thread 2: (29000,356000) ops and (13372.3,17028.7) ops/second in (2.168670,20.905932) seconds
2026/05/26-11:49:35  ... thread 3: (31000,341000) ops and (14247.6,16301.3) ops/second in (2.175802,20.918542) seconds
2026/05/26-11:49:35  ... thread 0: (34000,347000) ops and (15526.5,16582.9) ops/second in (2.189800,20.925188) seconds
2026/05/26-11:49:36  ... thread 3: (14000,355000) ops and (11334.4,16024.4) ops/second in (1.235173,22.153715) seconds
2026/05/26-11:49:36  ... thread 2: (16000,372000) ops and (11810.5,16711.1) ops/second in (1.354726,22.260658) seconds
2026/05/26-11:49:37  ... thread 0: (16000,363000) ops and (8353.3,15892.8) ops/second in (1.915413,22.840601) seconds
2026/05/26-11:49:37  ... thread 1: (17000,336000) ops and (8695.3,14701.1) ops/second in (1.955084,22.855423) seconds
2026/05/26-11:49:38  ... thread 3: (4000,359000) ops and (2791.4,15220.5) ops/second in (1.432961,23.586676) seconds
2026/05/26-11:49:38  ... thread 2: (2000,374000) ops and (1494.2,15848.0) ops/second in (1.338502,23.599160) seconds
2026/05/26-11:49:39  ... thread 2: (2000,376000) ops and (1969.8,15275.5) ops/second in (1.015346,24.614506) seconds
2026/05/26-11:49:39  ... thread 1: (2000,338000) ops and (1128.2,13724.1) ops/second in (1.772699,24.628122) seconds
2026/05/26-11:49:39  ... thread 3: (2000,361000) ops and (1869.7,14641.2) ops/second in (1.069703,24.656379) seconds
2026/05/26-11:49:39  ... thread 0: (4000,367000) ops and (2175.0,14870.5) ops/second in (1.839063,24.679664) seconds
2026/05/26-11:49:40  ... thread 0: (2000,369000) ops and (1977.9,14363.1) ops/second in (1.011148,25.690812) seconds
2026/05/26-11:49:40  ... thread 3: (1000,362000) ops and (853.8,14016.0) ops/second in (1.171214,25.827593) seconds
2026/05/26-11:49:40  ... thread 1: (2000,340000) ops and (1482.5,13088.4) ops/second in (1.349097,25.977219) seconds
2026/05/26-11:49:40  ... thread 2: (3000,379000) ops and (1921.8,14479.2) ops/second in (1.561011,26.175517) seconds
2026/05/26-11:49:41  ... thread 0: (22000,391000) ops and (21847.1,14645.4) ops/second in (1.006998,26.697810) seconds
2026/05/26-11:49:41  ... thread 3: (28000,390000) ops and (26024.6,14496.3) ops/second in (1.075906,26.903499) seconds
2026/05/26-11:49:41  ... thread 1: (27000,367000) ops and (26760.0,13599.6) ops/second in (1.008967,26.986186) seconds
2026/05/26-11:49:41  ... thread 2: (38000,417000) ops and (37058.3,15330.4) ops/second in (1.025410,27.200927) seconds
2026/05/26-11:49:42  ... thread 0: (24000,415000) ops and (23863.3,14980.0) ops/second in (1.005728,27.703538) seconds
2026/05/26-11:49:43  ... thread 3: (31000,421000) ops and (16968.8,14653.5) ops/second in (1.826882,28.730381) seconds
2026/05/26-11:49:43  ... thread 1: (28000,395000) ops and (15552.8,13721.7) ops/second in (1.800322,28.786508) seconds
2026/05/26-11:49:44  ... thread 0: (9000,424000) ops and (4849.7,14344.0) ops/second in (1.855771,29.559309) seconds
2026/05/26-11:49:44  ... thread 2: (17000,434000) ops and (7210.3,14682.7) ops/second in (2.357742,29.558669) seconds
2026/05/26-11:49:44  ... thread 1: (4000,399000) ops and (2642.6,13168.2) ops/second in (1.513649,30.300157) seconds
2026/05/26-11:49:44  ... thread 3: (3000,424000) ops and (1664.4,13886.7) ops/second in (1.802477,30.532858) seconds
2026/05/26-11:49:45  ... thread 0: (2000,426000) ops and (1971.0,13933.4) ops/second in (1.014736,30.574045) seconds
2026/05/26-11:49:45  ... thread 2: (3000,437000) ops and (2636.0,14236.0) ops/second in (1.138072,30.696741) seconds
2026/05/26-11:49:45  ... thread 1: (3000,402000) ops and (2562.0,12773.6) ops/second in (1.170952,31.471109) seconds
2026/05/26-11:49:46  ... thread 0: (1000,427000) ops and (989.1,13519.0) ops/second in (1.011045,31.585090) seconds
2026/05/26-11:49:46  ... thread 3: (2000,426000) ops and (1585.9,13398.8) ops/second in (1.261080,31.793938) seconds
2026/05/26-11:49:46  ... thread 2: (2000,439000) ops and (1582.5,13735.7) ops/second in (1.263811,31.960552) seconds
2026/05/26-11:49:46  ... thread 1: (13000,415000) ops and (12941.5,12778.8) ops/second in (1.004520,32.475629) seconds
2026/05/26-11:49:47  ... thread 0: (17000,444000) ops and (16600.6,13615.8) ops/second in (1.024059,32.609149) seconds
2026/05/26-11:49:47  ... thread 3: (25000,451000) ops and (24685.5,13747.2) ops/second in (1.012741,32.806679) seconds
2026/05/26-11:49:48  ... thread 0: (9000,453000) ops and (8966.3,13477.0) ops/second in (1.003762,33.612911) seconds
2026/05/26-11:49:48  ... thread 1: (13000,428000) ops and (11333.9,12729.5) ops/second in (1.147004,33.622633) seconds
2026/05/26-11:49:48  ... thread 2: (26000,465000) ops and (15289.1,13814.2) ops/second in (1.700561,33.661113) seconds
2026/05/26-11:49:48  ... thread 3: (6000,457000) ops and (5783.2,13503.1) ops/second in (1.037493,33.844172) seconds
2026/05/26-11:49:49  ... thread 2: (14000,479000) ops and (13883.9,13816.2) ops/second in (1.008360,34.669473) seconds
2026/05/26-11:49:49  ... thread 3: (11000,468000) ops and (10845.8,13425.7) ops/second in (1.014220,34.858392) seconds
2026/05/26-11:49:49  ... thread 1: (18000,446000) ops and (10348.8,12612.4) ops/second in (1.739331,35.361964) seconds
2026/05/26-11:49:50  ... thread 0: (17000,470000) ops and (8586.7,13204.9) ops/second in (1.979813,35.592724) seconds
2026/05/26-11:49:50  ... thread 2: (2000,481000) ops and (1743.0,13429.4) ops/second in (1.147417,35.816890) seconds
2026/05/26-11:49:50  ... thread 3: (2000,470000) ops and (1579.8,13010.6) ops/second in (1.265975,36.124367) seconds
2026/05/26-11:49:51  ... thread 0: (2000,472000) ops and (1805.6,12860.9) ops/second in (1.107685,36.700409) seconds
2026/05/26-11:49:51  ... thread 1: (2000,448000) ops and (1307.2,12143.6) ops/second in (1.530028,36.891992) seconds
2026/05/26-11:49:51  ... thread 2: (4000,485000) ops and (2449.6,12950.7) ops/second in (1.632917,37.449807) seconds
2026/05/26-11:49:52  ... thread 3: (1000,471000) ops and (649.1,12505.0) ops/second in (1.540670,37.665037) seconds
2026/05/26-11:49:52  ... thread 0: (2000,474000) ops and (1949.3,12564.1) ops/second in (1.026009,37.726418) seconds
2026/05/26-11:49:53  ... thread 1: (3000,451000) ops and (1770.3,11688.0) ops/second in (1.694633,38.586625) seconds
2026/05/26-11:49:53  ... thread 0: (3000,477000) ops and (2422.9,12241.9) ops/second in (1.238161,38.964579) seconds
2026/05/26-11:49:53  ... thread 2: (2000,487000) ops and (1201.1,12450.5) ops/second in (1.665098,39.114905) seconds
2026/05/26-11:49:53  ... thread 3: (1000,472000) ops and (638.9,12031.5) ops/second in (1.565216,39.230253) seconds
2026/05/26-11:49:54  ... thread 1: (9000,460000) ops and (8895.2,11616.6) ops/second in (1.011779,39.598404) seconds
2026/05/26-11:49:54  ... thread 0: (23000,500000) ops and (22670.4,12506.5) ops/second in (1.014537,39.979116) seconds
2026/05/26-11:49:55  ... thread 1: (16000,476000) ops and (12485.7,11643.9) ops/second in (1.281461,40.879865) seconds
2026/05/26-11:49:55  ... thread 2: (24000,511000) ops and (13510.0,12496.5) ops/second in (1.776457,40.891362) seconds
2026/05/26-11:49:55  ... thread 3: (23000,495000) ops and (13697.8,12099.9) ops/second in (1.679102,40.909355) seconds
2026/05/26-11:49:55  ... thread 0: (6000,506000) ops and (5977.1,12346.6) ops/second in (1.003827,40.982943) seconds
2026/05/26-11:49:56  ... thread 1: (18000,494000) ops and (17962.6,11795.1) ops/second in (1.002081,41.881946) seconds
2026/05/26-11:49:56  ... thread 2: (18000,529000) ops and (17997.4,12627.9) ops/second in (1.000143,41.891505) seconds
