RocksDB:    version 11.3.0
Date:       Tue May 26 09:52:34 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-09:52:36  ... thread 0: (32000,32000) ops and (31611.7,31611.7) ops/second in (1.012284,1.012284) seconds
2026/05/26-09:52:36  ... thread 3: (33000,33000) ops and (32238.3,32238.3) ops/second in (1.023626,1.023626) seconds
2026/05/26-09:52:36  ... thread 1: (28000,28000) ops and (27264.6,27264.6) ops/second in (1.026971,1.026971) seconds
2026/05/26-09:52:36  ... thread 2: (33000,33000) ops and (30508.5,30508.5) ops/second in (1.081666,1.081666) seconds
2026/05/26-09:52:37  ... thread 0: (33000,65000) ops and (32689.6,32149.9) ops/second in (1.009496,2.021780) seconds
2026/05/26-09:52:37  ... thread 3: (36000,69000) ops and (35538.4,33879.8) ops/second in (1.012988,2.036614) seconds
2026/05/26-09:52:37  ... thread 1: (35000,63000) ops and (34612.8,30910.3) ops/second in (1.011187,2.038158) seconds
2026/05/26-09:52:37  ... thread 2: (33000,66000) ops and (32785.1,31605.9) ops/second in (1.006554,2.088220) seconds
2026/05/26-09:52:38  ... thread 0: (32000,97000) ops and (31903.9,32068.3) ops/second in (1.003013,3.024793) seconds
2026/05/26-09:52:38  ... thread 3: (35000,104000) ops and (34641.8,34132.4) ops/second in (1.010341,3.046955) seconds
2026/05/26-09:52:38  ... thread 1: (37000,100000) ops and (36587.6,32793.0) ops/second in (1.011272,3.049430) seconds
2026/05/26-09:52:38  ... thread 2: (41000,107000) ops and (40012.1,34373.0) ops/second in (1.024689,3.112909) seconds
2026/05/26-09:52:39  ... thread 2: (5000,112000) ops and (4391.7,26344.2) ops/second in (1.138507,4.251416) seconds
2026/05/26-09:52:39  ... thread 3: (8000,112000) ops and (6630.5,26331.3) ops/second in (1.206542,4.253497) seconds
2026/05/26-09:52:39  ... thread 1: (8000,108000) ops and (6633.4,25379.2) ops/second in (1.206018,4.255448) seconds
2026/05/26-09:52:39  ... thread 0: (9000,106000) ops and (7313.3,24909.3) ops/second in (1.230638,4.255431) seconds
2026/05/26-09:52:41  ... thread 1: (30000,138000) ops and (13643.6,21381.2) ops/second in (2.198830,6.454278) seconds
2026/05/26-09:52:41  ... thread 2: (33000,145000) ops and (14923.7,22436.6) ops/second in (2.211250,6.462666) seconds
2026/05/26-09:52:41  ... thread 0: (29000,135000) ops and (13132.2,20885.7) ops/second in (2.208309,6.463740) seconds
2026/05/26-09:52:41  ... thread 3: (32000,144000) ops and (14359.0,22215.1) ops/second in (2.228573,6.482070) seconds
2026/05/26-09:52:44  ... thread 2: (30000,175000) ops and (10764.1,18919.5) ops/second in (2.787048,9.249714) seconds
2026/05/26-09:52:44  ... thread 1: (27000,165000) ops and (9657.3,17837.7) ops/second in (2.795817,9.250095) seconds
2026/05/26-09:52:44  ... thread 0: (39000,174000) ops and (13985.0,18805.9) ops/second in (2.788699,9.252439) seconds
2026/05/26-09:52:44  ... thread 3: (30000,174000) ops and (10764.9,18772.4) ops/second in (2.786839,9.268909) seconds
2026/05/26-09:52:45  ... thread 2: (40000,215000) ops and (39994.1,20975.9) ops/second in (1.000148,10.249862) seconds
2026/05/26-09:52:45  ... thread 1: (37000,202000) ops and (36883.4,19701.1) ops/second in (1.003161,10.253256) seconds
2026/05/26-09:52:45  ... thread 3: (35000,209000) ops and (34623.7,20331.2) ops/second in (1.010867,10.279776) seconds
2026/05/26-09:52:45  ... thread 0: (38000,212000) ops and (37074.8,20627.8) ops/second in (1.024955,10.277394) seconds
2026/05/26-09:52:46  ... thread 0: (8000,220000) ops and (6834.4,19217.4) ops/second in (1.170552,11.447946) seconds
2026/05/26-09:52:46  ... thread 1: (9000,211000) ops and (7478.3,18417.1) ops/second in (1.203486,11.456742) seconds
2026/05/26-09:52:46  ... thread 2: (9000,224000) ops and (7369.0,19527.2) ops/second in (1.221337,11.471199) seconds
2026/05/26-09:52:46  ... thread 3: (9000,218000) ops and (7530.4,18997.9) ops/second in (1.195149,11.474925) seconds
2026/05/26-09:52:48  ... thread 1: (31000,242000) ops and (17011.4,18224.2) ops/second in (1.822306,13.279048) seconds
2026/05/26-09:52:48  ... thread 0: (37000,257000) ops and (20057.5,19334.0) ops/second in (1.844701,13.292647) seconds
2026/05/26-09:52:48  ... thread 2: (28000,252000) ops and (15278.5,18941.9) ops/second in (1.832643,13.303842) seconds
2026/05/26-09:52:48  ... thread 3: (29000,247000) ops and (15361.3,18484.2) ops/second in (1.887857,13.362782) seconds
2026/05/26-09:52:49  ... thread 1: (25000,267000) ops and (24749.2,18685.5) ops/second in (1.010132,14.289180) seconds
2026/05/26-09:52:49  ... thread 0: (28000,285000) ops and (27957.7,19938.2) ops/second in (1.001514,14.294161) seconds
