RocksDB:    version 11.3.0
Date:       Tue May 26 10:45:08 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-10:45:09  ... thread 1: (36000,36000) ops and (34997.9,34997.9) ops/second in (1.028632,1.028632) seconds
2026/05/26-10:45:09  ... thread 3: (36000,36000) ops and (34736.6,34736.6) ops/second in (1.036370,1.036370) seconds
2026/05/26-10:45:09  ... thread 0: (35000,35000) ops and (33772.8,33772.8) ops/second in (1.036338,1.036338) seconds
2026/05/26-10:45:09  ... thread 2: (36000,36000) ops and (34001.9,34001.9) ops/second in (1.058765,1.058765) seconds
2026/05/26-10:45:11  ... thread 3: (26000,62000) ops and (16166.6,23443.8) ops/second in (1.608250,2.644620) seconds
2026/05/26-10:45:11  ... thread 1: (29000,65000) ops and (17778.1,24437.4) ops/second in (1.631223,2.659855) seconds
2026/05/26-10:45:11  ... thread 2: (28000,64000) ops and (17494.6,24066.8) ops/second in (1.600495,2.659260) seconds
2026/05/26-10:45:11  ... thread 0: (25000,60000) ops and (15355.8,22519.3) ops/second in (1.628046,2.664384) seconds
2026/05/26-10:45:12  ... thread 3: (26000,88000) ops and (25550.8,24029.3) ops/second in (1.017580,3.662200) seconds
2026/05/26-10:45:12  ... thread 0: (30000,90000) ops and (29978.1,24555.9) ops/second in (1.000729,3.665113) seconds
2026/05/26-10:45:12  ... thread 2: (28000,92000) ops and (27651.6,25055.4) ops/second in (1.012599,3.671859) seconds
2026/05/26-10:45:12  ... thread 1: (30000,95000) ops and (29428.1,25820.2) ops/second in (1.019433,3.679288) seconds
2026/05/26-10:45:13  ... thread 2: (10000,102000) ops and (9998.7,21832.2) ops/second in (1.000130,4.671989) seconds
2026/05/26-10:45:13  ... thread 3: (12000,100000) ops and (11596.5,21290.2) ops/second in (1.034796,4.696996) seconds
2026/05/26-10:45:13  ... thread 0: (11000,101000) ops and (10658.4,21502.4) ops/second in (1.032047,4.697160) seconds
2026/05/26-10:45:13  ... thread 1: (12000,107000) ops and (11726.6,22753.4) ops/second in (1.023315,4.702603) seconds
2026/05/26-10:45:14  ... thread 2: (23000,125000) ops and (22755.6,21996.5) ops/second in (1.010741,5.682730) seconds
2026/05/26-10:45:14  ... thread 0: (18000,119000) ops and (17827.2,20852.1) ops/second in (1.009692,5.706852) seconds
