RocksDB:    version 11.3.0
Date:       Tue May 26 09:55:08 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-09:55:09  ... thread 2: (31000,31000) ops and (30936.9,30936.9) ops/second in (1.002039,1.002039) seconds
2026/05/26-09:55:09  ... thread 3: (32000,32000) ops and (31701.8,31701.8) ops/second in (1.009405,1.009405) seconds
2026/05/26-09:55:09  ... thread 1: (32000,32000) ops and (31648.8,31648.8) ops/second in (1.011097,1.011097) seconds
2026/05/26-09:55:09  ... thread 0: (35000,35000) ops and (33980.2,33980.2) ops/second in (1.030011,1.030011) seconds
2026/05/26-09:55:10  ... thread 2: (30000,61000) ops and (29701.8,30316.9) ops/second in (1.010039,2.012078) seconds
2026/05/26-09:55:10  ... thread 3: (33000,65000) ops and (32524.5,32114.2) ops/second in (1.014620,2.024025) seconds
2026/05/26-09:55:10  ... thread 1: (37000,69000) ops and (36129.9,33903.7) ops/second in (1.024082,2.035179) seconds
2026/05/26-09:55:10  ... thread 0: (31000,66000) ops and (29921.1,31944.7) ops/second in (1.036057,2.066068) seconds
2026/05/26-09:55:11  ... thread 2: (33000,94000) ops and (32502.2,31049.8) ops/second in (1.015317,3.027395) seconds
2026/05/26-09:55:11  ... thread 3: (33000,98000) ops and (32831.0,32352.1) ops/second in (1.005149,3.029174) seconds
2026/05/26-09:55:11  ... thread 1: (35000,104000) ops and (34173.9,33994.1) ops/second in (1.024172,3.059351) seconds
2026/05/26-09:55:11  ... thread 0: (34000,100000) ops and (33923.6,32591.1) ops/second in (1.002252,3.068320) seconds
2026/05/26-09:55:12  ... thread 2: (11000,105000) ops and (8375.3,24189.2) ops/second in (1.313384,4.340779) seconds
2026/05/26-09:55:12  ... thread 1: (10000,114000) ops and (7784.7,26243.6) ops/second in (1.284569,4.343920) seconds
2026/05/26-09:55:12  ... thread 3: (11000,109000) ops and (8294.9,25027.0) ops/second in (1.326118,4.355292) seconds
2026/05/26-09:55:13  ... thread 0: (10000,110000) ops and (7721.4,25209.6) ops/second in (1.295096,4.363416) seconds
2026/05/26-09:55:14  ... thread 0: (27000,137000) ops and (15744.3,22539.1) ops/second in (1.714902,6.078318) seconds
2026/05/26-09:55:14  ... thread 2: (32000,137000) ops and (18380.8,22526.5) ops/second in (1.740949,6.081728) seconds
2026/05/26-09:55:14  ... thread 1: (34000,148000) ops and (19352.4,24259.1) ops/second in (1.756886,6.100806) seconds
2026/05/26-09:55:14  ... thread 3: (31000,140000) ops and (17726.2,22935.4) ops/second in (1.748819,6.104111) seconds
2026/05/26-09:55:16  ... thread 0: (33000,170000) ops and (16590.5,21072.4) ops/second in (1.989092,8.067410) seconds
2026/05/26-09:55:16  ... thread 3: (29000,169000) ops and (14769.8,20948.0) ops/second in (1.963470,8.067581) seconds
2026/05/26-09:55:16  ... thread 1: (33000,181000) ops and (16645.9,22391.9) ops/second in (1.982467,8.083273) seconds
2026/05/26-09:55:16  ... thread 2: (30000,167000) ops and (14953.8,20648.1) ops/second in (2.006175,8.087903) seconds
2026/05/26-09:55:18  ... thread 1: (32000,213000) ops and (16516.0,21255.8) ops/second in (1.937514,10.020787) seconds
2026/05/26-09:55:18  ... thread 2: (31000,198000) ops and (15995.6,19748.8) ops/second in (1.938030,10.025933) seconds
2026/05/26-09:55:18  ... thread 3: (31000,200000) ops and (15804.7,19942.1) ops/second in (1.961437,10.029018) seconds
2026/05/26-09:55:18  ... thread 0: (29000,199000) ops and (14759.6,19836.1) ops/second in (1.964829,10.032239) seconds
2026/05/26-09:55:20  ... thread 3: (33000,233000) ops and (17827.7,19612.7) ops/second in (1.851049,11.880067) seconds
2026/05/26-09:55:20  ... thread 1: (31000,244000) ops and (16636.2,20531.5) ops/second in (1.863403,11.884190) seconds
2026/05/26-09:55:20  ... thread 2: (30000,228000) ops and (16066.9,19170.7) ops/second in (1.867194,11.893127) seconds
2026/05/26-09:55:20  ... thread 0: (30000,229000) ops and (16070.3,19245.3) ops/second in (1.866800,11.899039) seconds
2026/05/26-09:55:22  ... thread 0: (32000,261000) ops and (17411.7,18999.9) ops/second in (1.837846,13.736885) seconds
2026/05/26-09:55:22  ... thread 1: (31000,275000) ops and (16675.8,20009.9) ops/second in (1.858982,13.743172) seconds
2026/05/26-09:55:22  ... thread 3: (31000,264000) ops and (16575.7,19199.6) ops/second in (1.870208,13.750275) seconds
2026/05/26-09:55:22  ... thread 2: (32000,260000) ops and (17106.8,18890.2) ops/second in (1.870606,13.763733) seconds
2026/05/26-09:55:23  ... thread 0: (26000,287000) ops and (25645.2,19456.7) ops/second in (1.013833,14.750718) seconds
2026/05/26-09:55:23  ... thread 3: (27000,291000) ops and (26740.3,19715.5) ops/second in (1.009712,14.759987) seconds
2026/05/26-09:55:23  ... thread 2: (22000,282000) ops and (21811.3,19089.7) ops/second in (1.008652,14.772385) seconds
2026/05/26-09:55:23  ... thread 1: (27000,302000) ops and (26238.9,20443.8) ops/second in (1.029006,14.772178) seconds
2026/05/26-09:55:27  ... thread 1: (5000,307000) ops and (1235.0,16311.9) ops/second in (4.048486,18.820664) seconds
2026/05/26-09:55:27  ... thread 0: (6000,293000) ops and (1472.7,15564.6) ops/second in (4.074020,18.824738) seconds
2026/05/26-09:55:27  ... thread 2: (5000,287000) ops and (1231.7,15240.2) ops/second in (4.059410,18.831795) seconds
2026/05/26-09:55:27  ... thread 3: (5000,296000) ops and (1228.2,15718.6) ops/second in (4.071159,18.831146) seconds
2026/05/26-09:55:29  ... thread 2: (32000,319000) ops and (15916.3,15305.4) ops/second in (2.010522,20.842317) seconds
2026/05/26-09:55:29  ... thread 0: (31000,324000) ops and (15294.5,15538.4) ops/second in (2.026868,20.851606) seconds
2026/05/26-09:55:29  ... thread 3: (30000,326000) ops and (14796.9,15629.1) ops/second in (2.027447,20.858593) seconds
