RocksDB:    version 11.3.0
Date:       Tue May 26 09:38:50 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-09:38:51  ... thread 0: (33000,33000) ops and (32876.8,32876.8) ops/second in (1.003746,1.003746) seconds
2026/05/26-09:38:51  ... thread 2: (35000,35000) ops and (34849.1,34849.1) ops/second in (1.004330,1.004330) seconds
2026/05/26-09:38:51  ... thread 3: (40000,40000) ops and (39688.8,39688.8) ops/second in (1.007841,1.007841) seconds
2026/05/26-09:38:51  ... thread 1: (37000,37000) ops and (36546.1,36546.1) ops/second in (1.012420,1.012420) seconds
2026/05/26-09:38:52  ... thread 0: (30000,63000) ops and (29964.0,31422.3) ops/second in (1.001202,2.004948) seconds
2026/05/26-09:38:52  ... thread 3: (32000,72000) ops and (31993.5,35855.8) ops/second in (1.000203,2.008044) seconds
2026/05/26-09:38:52  ... thread 2: (28000,63000) ops and (27910.5,31381.8) ops/second in (1.003205,2.007535) seconds
2026/05/26-09:38:52  ... thread 1: (30000,67000) ops and (29551.2,33043.9) ops/second in (1.015186,2.027606) seconds
2026/05/26-09:38:54  ... thread 1: (26000,93000) ops and (15733.8,25271.0) ops/second in (1.652496,3.680102) seconds
2026/05/26-09:38:54  ... thread 2: (28000,91000) ops and (16565.3,24609.1) ops/second in (1.690281,3.697816) seconds
2026/05/26-09:38:54  ... thread 3: (32000,104000) ops and (18860.3,28072.2) ops/second in (1.696686,3.704730) seconds
2026/05/26-09:38:54  ... thread 0: (24000,87000) ops and (14114.0,23479.3) ops/second in (1.700443,3.705391) seconds
2026/05/26-09:38:55  ... thread 2: (18000,109000) ops and (16254.9,22683.9) ops/second in (1.107358,4.805174) seconds
2026/05/26-09:38:55  ... thread 3: (19000,123000) ops and (17182.1,25568.9) ops/second in (1.105800,4.810530) seconds
2026/05/26-09:38:55  ... thread 1: (14000,107000) ops and (12319.3,22215.2) ops/second in (1.136425,4.816527) seconds
2026/05/26-09:38:55  ... thread 0: (11000,98000) ops and (9846.4,20321.2) ops/second in (1.117159,4.822550) seconds
2026/05/26-09:38:56  ... thread 3: (35000,158000) ops and (34682.9,27149.3) ops/second in (1.009144,5.819674) seconds
2026/05/26-09:38:56  ... thread 2: (30000,139000) ops and (29389.0,23858.7) ops/second in (1.020789,5.825963) seconds
2026/05/26-09:38:56  ... thread 0: (30000,128000) ops and (28667.5,21809.4) ops/second in (1.046480,5.869030) seconds
2026/05/26-09:38:56  ... thread 1: (31000,138000) ops and (29497.2,23519.5) ops/second in (1.050946,5.867473) seconds
2026/05/26-09:38:57  ... thread 2: (17000,156000) ops and (13945.0,22143.2) ops/second in (1.219075,7.045038) seconds
2026/05/26-09:38:57  ... thread 3: (17000,175000) ops and (13833.8,24827.8) ops/second in (1.228874,7.048548) seconds
2026/05/26-09:38:57  ... thread 0: (14000,142000) ops and (11751.7,20112.3) ops/second in (1.191322,7.060352) seconds
2026/05/26-09:38:57  ... thread 1: (13000,151000) ops and (10692.4,21317.8) ops/second in (1.215816,7.083289) seconds
2026/05/26-09:38:59  ... thread 1: (13000,164000) ops and (10847.3,19802.6) ops/second in (1.198451,8.281740) seconds
2026/05/26-09:38:59  ... thread 0: (17000,159000) ops and (13886.8,19192.4) ops/second in (1.224180,8.284532) seconds
2026/05/26-09:38:59  ... thread 2: (15000,171000) ops and (12048.0,20627.1) ops/second in (1.245019,8.290057) seconds
2026/05/26-09:38:59  ... thread 3: (17000,192000) ops and (13574.6,23130.1) ops/second in (1.252339,8.300887) seconds
2026/05/26-09:39:00  ... thread 1: (16000,180000) ops and (14219.2,19134.7) ops/second in (1.125242,9.406982) seconds
2026/05/26-09:39:00  ... thread 2: (17000,188000) ops and (15111.2,19968.0) ops/second in (1.124995,9.415052) seconds
2026/05/26-09:39:00  ... thread 3: (14000,206000) ops and (12416.8,21848.9) ops/second in (1.127503,9.428390) seconds
2026/05/26-09:39:00  ... thread 0: (16000,175000) ops and (13792.3,18529.1) ops/second in (1.160070,9.444602) seconds
2026/05/26-09:39:01  ... thread 1: (16000,196000) ops and (15963.3,18829.3) ops/second in (1.002300,10.409282) seconds
2026/05/26-09:39:01  ... thread 2: (16000,204000) ops and (15381.5,19511.7) ops/second in (1.040213,10.455265) seconds
2026/05/26-09:39:01  ... thread 0: (17000,192000) ops and (16736.8,18355.1) ops/second in (1.015728,10.460330) seconds
2026/05/26-09:39:01  ... thread 3: (21000,227000) ops and (20340.0,21700.0) ops/second in (1.032446,10.460836) seconds
2026/05/26-09:39:02  ... thread 1: (29000,225000) ops and (28510.0,19691.1) ops/second in (1.017188,11.426470) seconds
2026/05/26-09:39:02  ... thread 2: (30000,234000) ops and (29863.1,20419.1) ops/second in (1.004585,11.459850) seconds
2026/05/26-09:39:02  ... thread 0: (28000,220000) ops and (27718.7,19179.7) ops/second in (1.010147,11.470477) seconds
2026/05/26-09:39:03  ... thread 3: (24000,251000) ops and (10557.2,19710.7) ops/second in (2.273338,12.734174) seconds
2026/05/26-09:39:03  ... thread 2: (1000,235000) ops and (783.6,18451.7) ops/second in (1.276085,12.735935) seconds
2026/05/26-09:39:03  ... thread 1: (3000,228000) ops and (2277.9,17891.5) ops/second in (1.317007,12.743477) seconds
2026/05/26-09:39:03  ... thread 0: (1000,221000) ops and (737.6,17230.4) ops/second in (1.355664,12.826141) seconds
2026/05/26-09:39:04  ... thread 2: (28000,263000) ops and (27854.9,19139.6) ops/second in (1.005210,13.741145) seconds
2026/05/26-09:39:04  ... thread 1: (29000,257000) ops and (28722.0,18686.6) ops/second in (1.009679,13.753156) seconds
2026/05/26-09:39:04  ... thread 3: (32000,283000) ops and (30968.8,20555.7) ops/second in (1.033298,13.767472) seconds
2026/05/26-09:39:05  ... thread 0: (33000,254000) ops and (20186.4,17564.6) ops/second in (1.634767,14.460908) seconds
2026/05/26-09:39:05  ... thread 1: (10000,267000) ops and (9965.8,18093.6) ops/second in (1.003431,14.756587) seconds
2026/05/26-09:39:05  ... thread 2: (8000,271000) ops and (7841.6,18358.8) ops/second in (1.020199,14.761344) seconds
