RocksDB:    version 11.3.0
Date:       Tue May 26 10:23:33 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-10:23:34  ... thread 1: (37000,37000) ops and (36750.5,36750.5) ops/second in (1.006790,1.006790) seconds
2026/05/26-10:23:34  ... thread 0: (36000,36000) ops and (35875.4,35875.4) ops/second in (1.003473,1.003473) seconds
2026/05/26-10:23:34  ... thread 3: (36000,36000) ops and (35624.5,35624.5) ops/second in (1.010541,1.010541) seconds
2026/05/26-10:23:34  ... thread 2: (33000,33000) ops and (32402.6,32402.6) ops/second in (1.018437,1.018437) seconds
2026/05/26-10:23:35  ... thread 0: (33000,69000) ops and (32500.7,34178.1) ops/second in (1.015363,2.018836) seconds
2026/05/26-10:23:35  ... thread 2: (29000,62000) ops and (28872.6,30649.8) ops/second in (1.004413,2.022850) seconds
2026/05/26-10:23:35  ... thread 3: (34000,70000) ops and (33432.7,34525.1) ops/second in (1.016967,2.027508) seconds
2026/05/26-10:23:35  ... thread 1: (34000,71000) ops and (33235.8,34979.1) ops/second in (1.022993,2.029783) seconds
2026/05/26-10:23:36  ... thread 0: (29000,98000) ops and (28586.5,32308.0) ops/second in (1.014464,3.033300) seconds
2026/05/26-10:23:36  ... thread 2: (40000,102000) ops and (39320.8,33551.3) ops/second in (1.017274,3.040124) seconds
2026/05/26-10:23:36  ... thread 1: (34000,105000) ops and (33347.5,34433.6) ops/second in (1.019566,3.049349) seconds
2026/05/26-10:23:36  ... thread 3: (29000,99000) ops and (28310.0,32439.0) ops/second in (1.024374,3.051882) seconds
2026/05/26-10:23:37  ... thread 0: (11000,109000) ops and (10791.6,26896.3) ops/second in (1.019308,4.052608) seconds
2026/05/26-10:23:37  ... thread 3: (12000,111000) ops and (11903.0,27339.7) ops/second in (1.008153,4.060035) seconds
2026/05/26-10:23:37  ... thread 2: (14000,116000) ops and (13750.6,28583.7) ops/second in (1.018136,4.058260) seconds
2026/05/26-10:23:37  ... thread 1: (13000,118000) ops and (12637.1,28935.3) ops/second in (1.028720,4.078069) seconds
2026/05/26-10:23:38  ... thread 0: (9000,118000) ops and (8925.2,23315.6) ops/second in (1.008383,5.060991) seconds
2026/05/26-10:23:38  ... thread 3: (10000,121000) ops and (9927.0,23878.2) ops/second in (1.007355,5.067390) seconds
2026/05/26-10:23:38  ... thread 2: (10000,126000) ops and (9914.8,24867.5) ops/second in (1.008597,5.066857) seconds
2026/05/26-10:23:38  ... thread 1: (25000,143000) ops and (24591.2,28068.4) ops/second in (1.016625,5.094694) seconds
2026/05/26-10:23:39  ... thread 2: (28000,154000) ops and (18162.8,23303.4) ops/second in (1.541613,6.608470) seconds
2026/05/26-10:23:39  ... thread 0: (30000,148000) ops and (19377.1,22393.0) ops/second in (1.548219,6.609210) seconds
2026/05/26-10:23:39  ... thread 3: (30000,151000) ops and (19406.2,22832.8) ops/second in (1.545901,6.613291) seconds
2026/05/26-10:23:39  ... thread 1: (27000,170000) ops and (17695.9,25677.9) ops/second in (1.525781,6.620475) seconds
2026/05/26-10:23:41  ... thread 1: (13000,183000) ops and (11146.4,23501.4) ops/second in (1.166293,7.786768) seconds
2026/05/26-10:23:41  ... thread 3: (23000,174000) ops and (19485.4,22325.8) ops/second in (1.180370,7.793661) seconds
2026/05/26-10:23:41  ... thread 2: (14000,168000) ops and (11825.4,21559.6) ops/second in (1.183889,7.792359) seconds
2026/05/26-10:23:41  ... thread 0: (13000,161000) ops and (10960.1,20653.4) ops/second in (1.186123,7.795333) seconds
2026/05/26-10:23:42  ... thread 1: (13000,196000) ops and (11138.2,21889.9) ops/second in (1.167151,8.953919) seconds
2026/05/26-10:23:42  ... thread 2: (12000,180000) ops and (10204.3,20070.6) ops/second in (1.175978,8.968337) seconds
2026/05/26-10:23:42  ... thread 0: (15000,176000) ops and (12744.1,19615.8) ops/second in (1.177013,8.972346) seconds
2026/05/26-10:23:42  ... thread 3: (23000,197000) ops and (19294.6,21923.7) ops/second in (1.192043,8.985704) seconds
2026/05/26-10:23:43  ... thread 1: (20000,216000) ops and (19552.9,21650.3) ops/second in (1.022867,9.976786) seconds
