RocksDB:    version 11.3.0
Date:       Tue May 26 10:39:27 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-10:39:28  ... thread 1: (35000,35000) ops and (34892.1,34892.1) ops/second in (1.003091,1.003091) seconds
2026/05/26-10:39:28  ... thread 0: (34000,34000) ops and (33639.2,33639.2) ops/second in (1.010727,1.010727) seconds
2026/05/26-10:39:28  ... thread 3: (35000,35000) ops and (34212.6,34212.6) ops/second in (1.023015,1.023015) seconds
2026/05/26-10:39:28  ... thread 2: (32000,32000) ops and (31047.6,31047.6) ops/second in (1.030674,1.030674) seconds
2026/05/26-10:39:29  ... thread 0: (30000,64000) ops and (29792.9,31719.6) ops/second in (1.006953,2.017680) seconds
2026/05/26-10:39:29  ... thread 3: (30000,65000) ops and (29854.3,32052.9) ops/second in (1.004882,2.027897) seconds
2026/05/26-10:39:29  ... thread 2: (29000,61000) ops and (28976.5,30027.3) ops/second in (1.000811,2.031485) seconds
2026/05/26-10:39:29  ... thread 1: (30000,65000) ops and (28901.0,31845.3) ops/second in (1.038026,2.041117) seconds
2026/05/26-10:39:31  ... thread 0: (29000,93000) ops and (17203.4,25112.1) ops/second in (1.685715,3.703395) seconds
2026/05/26-10:39:31  ... thread 3: (27000,92000) ops and (16098.7,24831.0) ops/second in (1.677151,3.705048) seconds
2026/05/26-10:39:31  ... thread 2: (32000,93000) ops and (19156.0,25121.7) ops/second in (1.670499,3.701984) seconds
2026/05/26-10:39:31  ... thread 1: (30000,95000) ops and (18009.3,25627.7) ops/second in (1.665806,3.706923) seconds
2026/05/26-10:39:32  ... thread 2: (13000,106000) ops and (10690.0,21553.2) ops/second in (1.216087,4.918071) seconds
2026/05/26-10:39:32  ... thread 3: (21000,113000) ops and (17099.0,22906.1) ops/second in (1.228139,4.933187) seconds
2026/05/26-10:39:32  ... thread 1: (13000,108000) ops and (10590.7,21887.1) ops/second in (1.227497,4.934420) seconds
2026/05/26-10:39:32  ... thread 0: (16000,109000) ops and (12960.7,22074.2) ops/second in (1.234499,4.937894) seconds
2026/05/26-10:39:33  ... thread 2: (32000,138000) ops and (29689.8,23015.8) ops/second in (1.077811,5.995882) seconds
2026/05/26-10:39:33  ... thread 0: (31000,140000) ops and (28740.0,23269.2) ops/second in (1.078637,6.016531) seconds
2026/05/26-10:39:33  ... thread 3: (31000,144000) ops and (28398.9,23901.3) ops/second in (1.091592,6.024779) seconds
2026/05/26-10:39:33  ... thread 1: (31000,139000) ops and (28498.8,23081.3) ops/second in (1.087765,6.022185) seconds
2026/05/26-10:39:34  ... thread 3: (16000,160000) ops and (13515.0,22195.6) ops/second in (1.183867,7.208646) seconds
2026/05/26-10:39:34  ... thread 1: (15000,154000) ops and (12647.0,21364.4) ops/second in (1.186054,7.208239) seconds
2026/05/26-10:39:34  ... thread 0: (15000,155000) ops and (12545.9,21491.5) ops/second in (1.195608,7.212139) seconds
2026/05/26-10:39:34  ... thread 2: (15000,153000) ops and (12372.0,21225.5) ops/second in (1.212414,7.208296) seconds
2026/05/26-10:39:35  ... thread 3: (17000,177000) ops and (13392.4,20877.5) ops/second in (1.269374,8.478020) seconds
2026/05/26-10:39:35  ... thread 0: (13000,168000) ops and (10260.9,19813.4) ops/second in (1.266950,8.479089) seconds
2026/05/26-10:39:35  ... thread 2: (17000,170000) ops and (13367.4,20047.1) ops/second in (1.271748,8.480044) seconds
2026/05/26-10:39:35  ... thread 1: (16000,170000) ops and (12450.8,20015.8) ops/second in (1.285058,8.493297) seconds
2026/05/26-10:39:37  ... thread 2: (15000,185000) ops and (12184.5,19050.3) ops/second in (1.231071,9.711115) seconds
2026/05/26-10:39:37  ... thread 1: (16000,186000) ops and (12945.8,19117.7) ops/second in (1.235919,9.729216) seconds
2026/05/26-10:39:37  ... thread 0: (15000,183000) ops and (11853.9,18779.8) ops/second in (1.265410,9.744499) seconds
2026/05/26-10:39:37  ... thread 3: (16000,193000) ops and (12574.4,19794.0) ops/second in (1.272422,9.750442) seconds
2026/05/26-10:39:38  ... thread 2: (16000,201000) ops and (14476.1,18582.9) ops/second in (1.105271,10.816386) seconds
