RocksDB:    version 11.3.0
Date:       Tue May 26 11:13:44 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-11:13:45  ... thread 1: (32000,32000) ops and (31916.7,31916.7) ops/second in (1.002609,1.002609) seconds
2026/05/26-11:13:45  ... thread 2: (38000,38000) ops and (37820.1,37820.1) ops/second in (1.004757,1.004757) seconds
2026/05/26-11:13:45  ... thread 3: (33000,33000) ops and (32929.4,32929.4) ops/second in (1.002145,1.002145) seconds
2026/05/26-11:13:45  ... thread 0: (36000,36000) ops and (35875.9,35875.9) ops/second in (1.003459,1.003459) seconds
2026/05/26-11:13:46  ... thread 3: (29000,62000) ops and (28895.8,30911.1) ops/second in (1.003606,2.005751) seconds
2026/05/26-11:13:46  ... thread 0: (32000,68000) ops and (31862.0,33868.1) ops/second in (1.004331,2.007790) seconds
2026/05/26-11:13:46  ... thread 1: (31000,63000) ops and (30594.6,31252.2) ops/second in (1.013250,2.015859) seconds
2026/05/26-11:13:46  ... thread 2: (28000,66000) ops and (27646.2,32712.9) ops/second in (1.012798,2.017555) seconds
2026/05/26-11:13:47  ... thread 0: (32000,100000) ops and (31569.1,33096.8) ops/second in (1.013648,3.021438) seconds
2026/05/26-11:13:47  ... thread 1: (27000,90000) ops and (26626.5,29704.1) ops/second in (1.014026,3.029885) seconds
2026/05/26-11:13:47  ... thread 3: (24000,86000) ops and (23357.7,28352.4) ops/second in (1.027497,3.033248) seconds
2026/05/26-11:13:47  ... thread 2: (28000,94000) ops and (27164.4,30836.7) ops/second in (1.030760,3.048315) seconds
2026/05/26-11:13:48  ... thread 0: (11000,111000) ops and (10756.3,27447.5) ops/second in (1.022653,4.044091) seconds
2026/05/26-11:13:48  ... thread 2: (10000,104000) ops and (9982.3,25678.4) ops/second in (1.001775,4.050090) seconds
2026/05/26-11:13:48  ... thread 3: (11000,97000) ops and (10839.3,23962.0) ops/second in (1.014827,4.048075) seconds
2026/05/26-11:13:48  ... thread 1: (10000,100000) ops and (9683.8,24615.1) ops/second in (1.032655,4.062540) seconds
2026/05/26-11:13:49  ... thread 3: (18000,115000) ops and (17735.6,22713.9) ops/second in (1.014906,5.062981) seconds
2026/05/26-11:13:49  ... thread 2: (18000,122000) ops and (17679.0,24071.4) ops/second in (1.018160,5.068250) seconds
2026/05/26-11:13:49  ... thread 0: (15000,126000) ops and (14576.4,24836.6) ops/second in (1.029061,5.073152) seconds
2026/05/26-11:13:49  ... thread 1: (14000,114000) ops and (13767.3,22443.4) ops/second in (1.016902,5.079442) seconds
2026/05/26-11:13:50  ... thread 1: (26000,140000) ops and (25997.9,23028.1) ops/second in (1.000079,6.079521) seconds
2026/05/26-11:13:50  ... thread 3: (24000,139000) ops and (23363.6,22823.5) ops/second in (1.027237,6.090218) seconds
2026/05/26-11:13:50  ... thread 2: (28000,150000) ops and (26913.2,24555.4) ops/second in (1.040382,6.108632) seconds
2026/05/26-11:13:50  ... thread 0: (26000,152000) ops and (25141.9,24888.3) ops/second in (1.034131,6.107283) seconds
2026/05/26-11:13:51  ... thread 3: (11000,150000) ops and (10933.5,21137.8) ops/second in (1.006080,7.096298) seconds
2026/05/26-11:13:51  ... thread 1: (12000,152000) ops and (11733.7,21401.8) ops/second in (1.022695,7.102216) seconds
2026/05/26-11:13:51  ... thread 0: (10000,162000) ops and (9981.9,22787.7) ops/second in (1.001814,7.109097) seconds
2026/05/26-11:13:51  ... thread 2: (11000,161000) ops and (10909.2,22622.0) ops/second in (1.008321,7.116953) seconds
2026/05/26-11:13:52  ... thread 3: (12000,162000) ops and (10704.0,19714.3) ops/second in (1.121081,8.217379) seconds
2026/05/26-11:13:52  ... thread 2: (9000,170000) ops and (8081.1,20654.5) ops/second in (1.113712,8.230665) seconds
2026/05/26-11:13:52  ... thread 0: (22000,184000) ops and (19619.5,22356.1) ops/second in (1.121335,8.230432) seconds
2026/05/26-11:13:52  ... thread 1: (19000,171000) ops and (16638.1,20741.9) ops/second in (1.141959,8.244175) seconds
2026/05/26-11:13:53  ... thread 0: (15000,199000) ops and (12215.7,21039.6) ops/second in (1.227925,9.458357) seconds
2026/05/26-11:13:53  ... thread 2: (18000,188000) ops and (14516.7,19850.9) ops/second in (1.239953,9.470618) seconds
2026/05/26-11:13:53  ... thread 3: (14000,176000) ops and (11182.0,18586.2) ops/second in (1.252011,9.469390) seconds
2026/05/26-11:13:53  ... thread 1: (15000,186000) ops and (11911.2,19571.8) ops/second in (1.259315,9.503490) seconds
