RocksDB:    version 11.3.0
Date:       Tue May 26 11:10:38 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-11:10:39  ... thread 2: (32000,32000) ops and (31551.2,31551.2) ops/second in (1.014225,1.014225) seconds
2026/05/26-11:10:39  ... thread 3: (33000,33000) ops and (32303.3,32303.3) ops/second in (1.021567,1.021567) seconds
2026/05/26-11:10:39  ... thread 1: (32000,32000) ops and (31181.0,31181.0) ops/second in (1.026265,1.026265) seconds
2026/05/26-11:10:39  ... thread 0: (31000,31000) ops and (30279.6,30279.6) ops/second in (1.023790,1.023790) seconds
2026/05/26-11:10:40  ... thread 2: (34000,66000) ops and (33689.3,32617.6) ops/second in (1.009223,2.023448) seconds
2026/05/26-11:10:40  ... thread 0: (29000,60000) ops and (28992.8,29643.7) ops/second in (1.000249,2.024039) seconds
2026/05/26-11:10:40  ... thread 3: (30000,63000) ops and (29721.5,31020.1) ops/second in (1.009371,2.030938) seconds
2026/05/26-11:10:40  ... thread 1: (33000,65000) ops and (31964.9,31574.1) ops/second in (1.032382,2.058647) seconds
2026/05/26-11:10:41  ... thread 0: (30000,90000) ops and (29691.5,29659.6) ops/second in (1.010391,3.034430) seconds
2026/05/26-11:10:41  ... thread 2: (28000,94000) ops and (27432.8,30879.2) ops/second in (1.020676,3.044124) seconds
2026/05/26-11:10:41  ... thread 3: (28000,91000) ops and (27428.6,29818.8) ops/second in (1.020831,3.051769) seconds
2026/05/26-11:10:41  ... thread 1: (32000,97000) ops and (18678.3,25716.7) ops/second in (1.713214,3.771861) seconds
2026/05/26-11:10:42  ... thread 0: (8000,98000) ops and (7802.7,24139.6) ops/second in (1.025281,4.059711) seconds
2026/05/26-11:10:42  ... thread 3: (11000,102000) ops and (10753.8,25032.7) ops/second in (1.022894,4.074663) seconds
2026/05/26-11:10:42  ... thread 2: (5000,99000) ops and (4664.2,24051.8) ops/second in (1.071986,4.116110) seconds
2026/05/26-11:10:43  ... thread 2: (7000,106000) ops and (5913.3,20000.4) ops/second in (1.183782,5.299892) seconds
2026/05/26-11:10:43  ... thread 0: (9000,107000) ops and (7277.3,20202.3) ops/second in (1.236723,5.296434) seconds
2026/05/26-11:10:43  ... thread 3: (9000,111000) ops and (7306.9,20918.2) ops/second in (1.231717,5.306380) seconds
2026/05/26-11:10:43  ... thread 1: (17000,114000) ops and (11039.8,21461.9) ops/second in (1.539879,5.311740) seconds
2026/05/26-11:10:44  ... thread 2: (26000,132000) ops and (25755.0,20921.1) ops/second in (1.009514,6.309406) seconds
2026/05/26-11:10:44  ... thread 3: (23000,134000) ops and (22913.4,21235.6) ops/second in (1.003779,6.310159) seconds
2026/05/26-11:10:44  ... thread 1: (38000,152000) ops and (37763.0,24058.2) ops/second in (1.006276,6.318016) seconds
2026/05/26-11:10:44  ... thread 0: (26000,133000) ops and (25481.0,21055.0) ops/second in (1.020368,6.316802) seconds
2026/05/26-11:10:45  ... thread 2: (14000,146000) ops and (12317.6,19607.9) ops/second in (1.136582,7.445988) seconds
2026/05/26-11:10:45  ... thread 0: (17000,150000) ops and (15039.9,20142.0) ops/second in (1.130328,7.447130) seconds
2026/05/26-11:10:45  ... thread 1: (16000,168000) ops and (13962.3,22508.2) ops/second in (1.145940,7.463956) seconds
2026/05/26-11:10:45  ... thread 3: (26000,160000) ops and (22371.0,21412.2) ops/second in (1.162218,7.472377) seconds
2026/05/26-11:10:46  ... thread 2: (19000,165000) ops and (18598.9,19486.1) ops/second in (1.021565,8.467553) seconds
2026/05/26-11:10:46  ... thread 0: (17000,167000) ops and (16547.3,19706.2) ops/second in (1.027361,8.474491) seconds
2026/05/26-11:10:46  ... thread 1: (16000,184000) ops and (15610.9,21675.4) ops/second in (1.024928,8.488884) seconds
2026/05/26-11:10:46  ... thread 3: (19000,179000) ops and (18150.6,21011.4) ops/second in (1.046798,8.519175) seconds
2026/05/26-11:10:48  ... thread 1: (26000,210000) ops and (18735.8,21262.4) ops/second in (1.387717,9.876601) seconds
2026/05/26-11:10:48  ... thread 0: (27000,194000) ops and (19217.8,19636.8) ops/second in (1.404944,9.879435) seconds
2026/05/26-11:10:48  ... thread 2: (31000,196000) ops and (21825.4,19822.2) ops/second in (1.420366,9.887919) seconds
2026/05/26-11:10:48  ... thread 3: (32000,211000) ops and (23102.9,21303.9) ops/second in (1.385110,9.904285) seconds
2026/05/26-11:10:49  ... thread 3: (32000,243000) ops and (22261.3,21425.2) ops/second in (1.437475,11.341760) seconds
2026/05/26-11:10:49  ... thread 0: (30000,224000) ops and (20425.7,19738.9) ops/second in (1.468741,11.348176) seconds
2026/05/26-11:10:49  ... thread 1: (33000,243000) ops and (22209.8,21386.3) ops/second in (1.485833,11.362434) seconds
2026/05/26-11:10:49  ... thread 2: (29000,225000) ops and (19654.4,19800.4) ops/second in (1.475495,11.363414) seconds
2026/05/26-11:10:50  ... thread 3: (20000,263000) ops and (19699.6,21283.5) ops/second in (1.015250,12.357010) seconds
2026/05/26-11:10:50  ... thread 1: (16000,259000) ops and (15913.9,20941.4) ops/second in (1.005410,12.367844) seconds
2026/05/26-11:10:50  ... thread 2: (22000,247000) ops and (21809.0,19964.2) ops/second in (1.008760,12.372174) seconds
2026/05/26-11:10:50  ... thread 0: (20000,244000) ops and (19299.0,19702.1) ops/second in (1.036322,12.384498) seconds
2026/05/26-11:10:51  ... thread 2: (12000,259000) ops and (11812.2,19345.6) ops/second in (1.015901,13.388075) seconds
2026/05/26-11:10:51  ... thread 0: (11000,255000) ops and (10850.5,19032.3) ops/second in (1.013780,13.398278) seconds
2026/05/26-11:10:51  ... thread 3: (11000,274000) ops and (10507.9,20441.9) ops/second in (1.046836,13.403846) seconds
2026/05/26-11:10:51  ... thread 1: (12000,271000) ops and (11565.1,20215.7) ops/second in (1.037609,13.405453) seconds
2026/05/26-11:10:52  ... thread 1: (19000,290000) ops and (15855.6,19857.9) ops/second in (1.198315,14.603768) seconds
2026/05/26-11:10:52  ... thread 3: (12000,286000) ops and (9994.9,19583.1) ops/second in (1.200611,14.604457) seconds
2026/05/26-11:10:52  ... thread 0: (13000,268000) ops and (10749.1,18346.5) ops/second in (1.209407,14.607685) seconds
2026/05/26-11:10:52  ... thread 2: (18000,277000) ops and (14303.1,18912.3) ops/second in (1.258471,14.646546) seconds
2026/05/26-11:10:54  ... thread 1: (33000,323000) ops and (22079.3,20064.1) ops/second in (1.494614,16.098382) seconds
2026/05/26-11:10:54  ... thread 0: (32000,300000) ops and (21523.0,18639.9) ops/second in (1.486782,16.094467) seconds
2026/05/26-11:10:54  ... thread 2: (28000,305000) ops and (19136.0,18932.6) ops/second in (1.463210,16.109756) seconds
2026/05/26-11:10:54  ... thread 3: (31000,317000) ops and (20456.5,19665.2) ops/second in (1.515411,16.119868) seconds
2026/05/26-11:10:55  ... thread 1: (30000,353000) ops and (17311.8,19796.6) ops/second in (1.732920,17.831302) seconds
2026/05/26-11:10:55  ... thread 3: (32000,349000) ops and (18556.4,19558.0) ops/second in (1.724475,17.844343) seconds
2026/05/26-11:10:55  ... thread 2: (30000,335000) ops and (17243.4,18768.0) ops/second in (1.739792,17.849548) seconds
2026/05/26-11:10:55  ... thread 0: (34000,334000) ops and (19285.0,18703.6) ops/second in (1.763028,17.857495) seconds
2026/05/26-11:10:57  ... thread 2: (16000,351000) ops and (14780.0,18539.9) ops/second in (1.082545,18.932093) seconds
2026/05/26-11:10:57  ... thread 0: (14000,348000) ops and (13001.7,18379.4) ops/second in (1.076786,18.934281) seconds
2026/05/26-11:10:57  ... thread 1: (16000,369000) ops and (14272.9,19469.9) ops/second in (1.121008,18.952310) seconds
