RocksDB:    version 11.3.0
Date:       Tue May 26 11:40:18 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-11:40:19  ... thread 1: (32000,32000) ops and (31650.0,31650.0) ops/second in (1.011060,1.011060) seconds
2026/05/26-11:40:19  ... thread 2: (36000,36000) ops and (35603.4,35603.4) ops/second in (1.011139,1.011139) seconds
2026/05/26-11:40:19  ... thread 3: (31000,31000) ops and (30550.3,30550.3) ops/second in (1.014721,1.014721) seconds
2026/05/26-11:40:19  ... thread 0: (42000,42000) ops and (41176.3,41176.3) ops/second in (1.020005,1.020005) seconds
2026/05/26-11:40:20  ... thread 2: (29000,65000) ops and (28982.6,32310.4) ops/second in (1.000600,2.011739) seconds
2026/05/26-11:40:20  ... thread 1: (32000,64000) ops and (31238.5,31442.9) ops/second in (1.024377,2.035437) seconds
2026/05/26-11:40:20  ... thread 0: (30000,72000) ops and (29477.0,35333.2) ops/second in (1.017741,2.037746) seconds
2026/05/26-11:40:20  ... thread 3: (31000,62000) ops and (30066.6,30306.5) ops/second in (1.031046,2.045767) seconds
2026/05/26-11:40:21  ... thread 0: (13000,85000) ops and (8884.5,24279.0) ops/second in (1.463216,3.500962) seconds
2026/05/26-11:40:21  ... thread 1: (12000,76000) ops and (8135.4,21649.5) ops/second in (1.475039,3.510476) seconds
2026/05/26-11:40:21  ... thread 2: (14000,79000) ops and (9258.5,22418.5) ops/second in (1.512132,3.523871) seconds
2026/05/26-11:40:21  ... thread 3: (14000,76000) ops and (9448.5,21545.1) ops/second in (1.481718,3.527485) seconds
2026/05/26-11:40:22  ... thread 0: (5000,90000) ops and (4875.4,19882.8) ops/second in (1.025555,4.526517) seconds
2026/05/26-11:40:22  ... thread 2: (4000,83000) ops and (3975.3,18322.0) ops/second in (1.006209,4.530080) seconds
2026/05/26-11:40:22  ... thread 1: (5000,81000) ops and (4889.1,17868.3) ops/second in (1.022688,4.533164) seconds
2026/05/26-11:40:22  ... thread 3: (7000,83000) ops and (6898.8,18273.3) ops/second in (1.014672,4.542157) seconds
2026/05/26-11:40:23  ... thread 1: (34000,115000) ops and (33793.5,20760.8) ops/second in (1.006111,5.539275) seconds
2026/05/26-11:40:23  ... thread 0: (30000,120000) ops and (29404.3,21634.2) ops/second in (1.020259,5.546776) seconds
2026/05/26-11:40:23  ... thread 2: (30000,113000) ops and (29435.9,20363.1) ops/second in (1.019163,5.549243) seconds
2026/05/26-11:40:23  ... thread 3: (38000,121000) ops and (37335.4,21762.8) ops/second in (1.017801,5.559958) seconds
2026/05/26-11:40:28  ... thread 1: (28000,143000) ops and (6241.4,14263.7) ops/second in (4.486201,10.025476) seconds
2026/05/26-11:40:28  ... thread 0: (21000,141000) ops and (4684.3,14058.1) ops/second in (4.483039,10.029815) seconds
2026/05/26-11:40:28  ... thread 3: (21000,142000) ops and (4679.3,14132.5) ops/second in (4.487838,10.047796) seconds
2026/05/26-11:40:28  ... thread 2: (23000,136000) ops and (5113.4,13536.0) ops/second in (4.498004,10.047247) seconds
2026/05/26-11:40:29  ... thread 0: (34000,175000) ops and (33371.1,15839.0) ops/second in (1.018847,11.048662) seconds
2026/05/26-11:40:29  ... thread 1: (42000,185000) ops and (40908.4,16738.8) ops/second in (1.026685,11.052161) seconds
2026/05/26-11:40:29  ... thread 3: (34000,176000) ops and (33363.4,15903.3) ops/second in (1.019082,11.066878) seconds
2026/05/26-11:40:29  ... thread 2: (33000,169000) ops and (32412.1,15272.9) ops/second in (1.018137,11.065384) seconds
2026/05/26-11:40:35  ... thread 0: (26000,201000) ops and (4183.3,11642.9) ops/second in (6.215142,17.263804) seconds
2026/05/26-11:40:35  ... thread 2: (24000,193000) ops and (3870.0,11177.4) ops/second in (6.201543,17.266927) seconds
2026/05/26-11:40:35  ... thread 3: (25000,201000) ops and (4025.9,11634.2) ops/second in (6.209833,17.276711) seconds
2026/05/26-11:40:35  ... thread 1: (31000,216000) ops and (4978.5,12500.8) ops/second in (6.226802,17.278963) seconds
2026/05/26-11:40:36  ... thread 0: (33000,234000) ops and (32849.1,12809.0) ops/second in (1.004595,18.268399) seconds
2026/05/26-11:40:36  ... thread 2: (34000,227000) ops and (33637.7,12419.5) ops/second in (1.010771,18.277698) seconds
2026/05/26-11:40:36  ... thread 1: (34000,250000) ops and (33687.4,13670.0) ops/second in (1.009280,18.288243) seconds
2026/05/26-11:40:36  ... thread 3: (34000,235000) ops and (33508.3,12847.6) ops/second in (1.014675,18.291386) seconds
2026/05/26-11:40:37  ... thread 3: (29000,264000) ops and (27571.9,13648.2) ops/second in (1.051796,19.343182) seconds
2026/05/26-11:40:37  ... thread 1: (27000,277000) ops and (22869.0,14227.8) ops/second in (1.180637,19.468880) seconds
2026/05/26-11:40:38  ... thread 2: (29000,256000) ops and (15380.7,12696.4) ops/second in (1.885478,20.163176) seconds
2026/05/26-11:40:38  ... thread 0: (29000,263000) ops and (15304.1,13043.5) ops/second in (1.894921,20.163320) seconds
2026/05/26-11:40:38  ... thread 3: (3000,267000) ops and (2493.6,12995.1) ops/second in (1.203085,20.546267) seconds
2026/05/26-11:40:39  ... thread 1: (3000,280000) ops and (2459.3,13533.9) ops/second in (1.219852,20.688732) seconds
2026/05/26-11:40:39  ... thread 2: (2000,258000) ops and (1752.3,12110.1) ops/second in (1.141358,21.304534) seconds
2026/05/26-11:40:40  ... thread 0: (2000,265000) ops and (1213.3,12149.4) ops/second in (1.648461,21.811781) seconds
2026/05/26-11:40:40  ... thread 3: (3000,270000) ops and (1742.0,12124.8) ops/second in (1.722127,22.268394) seconds
2026/05/26-11:40:40  ... thread 1: (1000,281000) ops and (621.2,12601.8) ops/second in (1.609750,22.298482) seconds
2026/05/26-11:40:40  ... thread 2: (2000,260000) ops and (1875.3,11622.2) ops/second in (1.066473,22.371007) seconds
2026/05/26-11:40:41  ... thread 0: (18000,283000) ops and (17950.7,12404.4) ops/second in (1.002749,22.814530) seconds
2026/05/26-11:40:41  ... thread 3: (33000,303000) ops and (32270.5,13009.3) ops/second in (1.022606,23.291000) seconds
2026/05/26-11:40:41  ... thread 1: (36000,317000) ops and (35738.8,13601.8) ops/second in (1.007309,23.305791) seconds
2026/05/26-11:40:41  ... thread 2: (38000,298000) ops and (37708.4,12746.6) ops/second in (1.007732,23.378739) seconds
2026/05/26-11:40:42  ... thread 0: (29000,312000) ops and (28700.8,13095.5) ops/second in (1.010426,23.824956) seconds
2026/05/26-11:40:47  ... thread 3: (25000,328000) ops and (4385.4,11313.6) ops/second in (5.700732,28.991732) seconds
2026/05/26-11:40:47  ... thread 0: (10000,322000) ops and (1933.8,11104.9) ops/second in (5.171249,28.996205) seconds
2026/05/26-11:40:47  ... thread 1: (23000,340000) ops and (4039.8,11724.5) ops/second in (5.693284,28.999075) seconds
2026/05/26-11:40:47  ... thread 2: (21000,319000) ops and (3729.4,10996.3) ops/second in (5.630980,29.009719) seconds
2026/05/26-11:40:48  ... thread 0: (37000,359000) ops and (36931.7,11967.4) ops/second in (1.001850,29.998055) seconds
2026/05/26-11:40:48  ... thread 3: (39000,367000) ops and (38430.8,12230.7) ops/second in (1.014812,30.006544) seconds
2026/05/26-11:40:48  ... thread 1: (34000,374000) ops and (33470.8,12460.5) ops/second in (1.015810,30.014885) seconds
2026/05/26-11:40:48  ... thread 2: (36000,355000) ops and (35566.9,11824.7) ops/second in (1.012176,30.021895) seconds
2026/05/26-11:40:54  ... thread 0: (25000,384000) ops and (4364.4,10748.4) ops/second in (5.728144,35.726199) seconds
2026/05/26-11:40:54  ... thread 3: (27000,394000) ops and (4689.0,11016.5) ops/second in (5.758115,35.764659) seconds
2026/05/26-11:40:54  ... thread 2: (26000,381000) ops and (4459.2,10626.9) ops/second in (5.830631,35.852526) seconds
2026/05/26-11:40:54  ... thread 1: (24000,398000) ops and (3990.3,11046.5) ops/second in (6.014656,36.029541) seconds
2026/05/26-11:40:55  ... thread 2: (1000,382000) ops and (946.1,10349.6) ops/second in (1.056935,36.909461) seconds
2026/05/26-11:40:55  ... thread 3: (5000,399000) ops and (3369.1,10711.8) ops/second in (1.484055,37.248714) seconds
2026/05/26-11:40:55  ... thread 0: (1000,385000) ops and (652.5,10333.1) ops/second in (1.532546,37.258745) seconds
2026/05/26-11:40:55  ... thread 1: (2000,400000) ops and (1616.5,10733.4) ops/second in (1.237258,37.266799) seconds
2026/05/26-11:40:56  ... thread 2: (31000,413000) ops and (30417.5,10888.9) ops/second in (1.019150,37.928611) seconds
2026/05/26-11:40:56  ... thread 3: (35000,434000) ops and (34400.3,11341.6) ops/second in (1.017432,38.266146) seconds
2026/05/26-11:40:56  ... thread 1: (36000,436000) ops and (35588.9,11390.3) ops/second in (1.011551,38.278350) seconds
2026/05/26-11:40:56  ... thread 0: (34000,419000) ops and (33379.0,10946.4) ops/second in (1.018605,38.277350) seconds
2026/05/26-11:40:57  ... thread 2: (31000,444000) ops and (30829.4,11403.9) ops/second in (1.005534,38.934145) seconds
2026/05/26-11:41:02  ... thread 3: (24000,458000) ops and (3995.5,10344.9) ops/second in (6.006727,44.272873) seconds
2026/05/26-11:41:03  ... thread 1: (24000,460000) ops and (3750.6,10296.1) ops/second in (6.398940,44.677290) seconds
