RocksDB:    version 11.3.0
Date:       Tue May 26 12:03:58 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-12:04:05  ... thread 1: (30000,138000) ops and (29829.0,20731.9) ops/second in (1.005734,6.656395) seconds
2026/05/26-12:04:05  ... thread 2: (25000,132000) ops and (23899.5,19718.9) ops/second in (1.046048,6.694086) seconds
2026/05/26-12:04:05  ... thread 0: (29000,135000) ops and (28520.3,20125.7) ops/second in (1.016819,6.707852) seconds
2026/05/26-12:04:05  ... thread 3: (27000,152000) ops and (26803.8,21465.3) ops/second in (1.007320,7.081211) seconds
2026/05/26-12:04:06  ... thread 1: (38000,176000) ops and (37888.8,22978.5) ops/second in (1.002934,7.659329) seconds
2026/05/26-12:04:07  ... thread 3: (27000,179000) ops and (20729.4,21350.9) ops/second in (1.302497,8.383708) seconds
2026/05/26-12:04:07  ... thread 0: (33000,168000) ops and (19732.4,20047.2) ops/second in (1.672377,8.380229) seconds
2026/05/26-12:04:07  ... thread 2: (31000,163000) ops and (18160.9,19402.3) ops/second in (1.706963,8.401049) seconds
2026/05/26-12:04:07  ... thread 1: (11000,187000) ops and (10850.3,21560.9) ops/second in (1.013795,8.673124) seconds
2026/05/26-12:04:08  ... thread 0: (26000,194000) ops and (17541.5,19670.6) ops/second in (1.482203,9.862432) seconds
2026/05/26-12:04:08  ... thread 3: (32000,211000) ops and (21536.8,21378.9) ops/second in (1.485828,9.869536) seconds
2026/05/26-12:04:08  ... thread 2: (31000,194000) ops and (21088.2,19653.4) ops/second in (1.470018,9.871067) seconds
2026/05/26-12:04:08  ... thread 1: (24000,211000) ops and (19822.2,21347.9) ops/second in (1.210766,9.883890) seconds
2026/05/26-12:04:09  ... thread 1: (17000,228000) ops and (15091.8,20707.8) ops/second in (1.126441,11.010331) seconds
2026/05/26-12:04:09  ... thread 0: (15000,209000) ops and (12881.6,18953.7) ops/second in (1.164455,11.026887) seconds
2026/05/26-12:04:09  ... thread 3: (16000,227000) ops and (13770.3,20577.5) ops/second in (1.161921,11.031457) seconds
2026/05/26-12:04:09  ... thread 2: (16000,210000) ops and (13783.4,19035.7) ops/second in (1.160816,11.031883) seconds
2026/05/26-12:04:10  ... thread 1: (14000,242000) ops and (13903.0,20137.6) ops/second in (1.006977,12.017308) seconds
2026/05/26-12:04:10  ... thread 2: (15000,225000) ops and (14856.6,18685.3) ops/second in (1.009650,12.041533) seconds
2026/05/26-12:04:10  ... thread 3: (20000,247000) ops and (19467.5,20483.0) ops/second in (1.027351,12.058808) seconds
2026/05/26-12:04:10  ... thread 0: (16000,225000) ops and (15383.5,18646.0) ops/second in (1.040075,12.066962) seconds
2026/05/26-12:04:12  ... thread 3: (14000,261000) ops and (12963.2,19864.8) ops/second in (1.079981,13.138789) seconds
2026/05/26-12:04:12  ... thread 1: (14000,256000) ops and (12462.2,19481.4) ops/second in (1.123399,13.140707) seconds
2026/05/26-12:04:12  ... thread 2: (16000,241000) ops and (14499.9,18334.0) ops/second in (1.103453,13.144986) seconds
2026/05/26-12:04:12  ... thread 0: (15000,240000) ops and (13844.0,18250.3) ops/second in (1.083503,13.150465) seconds
2026/05/26-12:04:13  ... thread 2: (28000,269000) ops and (18635.4,18364.9) ops/second in (1.502517,14.647503) seconds
2026/05/26-12:04:13  ... thread 1: (32000,288000) ops and (21056.4,19644.7) ops/second in (1.519725,14.660432) seconds
2026/05/26-12:04:13  ... thread 3: (33000,294000) ops and (21284.1,20014.7) ops/second in (1.550451,14.689240) seconds
2026/05/26-12:04:13  ... thread 0: (31000,271000) ops and (19880.9,18423.2) ops/second in (1.559284,14.709749) seconds
2026/05/26-12:04:15  ... thread 1: (29000,317000) ops and (19483.9,19629.9) ops/second in (1.488405,16.148837) seconds
2026/05/26-12:04:15  ... thread 3: (31000,325000) ops and (21092.2,20112.7) ops/second in (1.469735,16.158975) seconds
2026/05/26-12:04:15  ... thread 0: (31000,302000) ops and (21280.5,18680.6) ops/second in (1.456733,16.166482) seconds
2026/05/26-12:04:15  ... thread 2: (34000,303000) ops and (22231.7,18730.5) ops/second in (1.529346,16.176849) seconds
2026/05/26-12:04:16  ... thread 3: (15000,340000) ops and (14078.3,19739.4) ops/second in (1.065466,17.224441) seconds
2026/05/26-12:04:16  ... thread 1: (17000,334000) ops and (15696.7,19382.7) ops/second in (1.083028,17.231865) seconds
2026/05/26-12:04:16  ... thread 0: (14000,316000) ops and (12889.2,18316.0) ops/second in (1.086181,17.252663) seconds
2026/05/26-12:04:16  ... thread 2: (16000,319000) ops and (14579.1,18466.7) ops/second in (1.097460,17.274309) seconds
2026/05/26-12:04:17  ... thread 1: (16000,350000) ops and (15103.8,19134.9) ops/second in (1.059336,18.291201) seconds
2026/05/26-12:04:17  ... thread 3: (15000,355000) ops and (13967.7,19400.7) ops/second in (1.073907,18.298348) seconds
2026/05/26-12:04:17  ... thread 0: (15000,331000) ops and (14315.5,18087.0) ops/second in (1.047815,18.300478) seconds
2026/05/26-12:04:17  ... thread 2: (15000,334000) ops and (14380.0,18234.0) ops/second in (1.043116,18.317425) seconds
2026/05/26-12:04:18  ... thread 2: (14000,348000) ops and (13536.1,17982.9) ops/second in (1.034273,19.351698) seconds
2026/05/26-12:04:18  ... thread 3: (16000,371000) ops and (15137.4,19167.8) ops/second in (1.056984,19.355332) seconds
2026/05/26-12:04:18  ... thread 0: (22000,353000) ops and (20834.0,18236.8) ops/second in (1.055964,19.356442) seconds
2026/05/26-12:04:18  ... thread 1: (12000,362000) ops and (10959.3,18673.1) ops/second in (1.094963,19.386164) seconds
2026/05/26-12:04:19  ... thread 2: (29000,377000) ops and (23490.7,18313.2) ops/second in (1.234533,20.586231) seconds
2026/05/26-12:04:19  ... thread 3: (30000,401000) ops and (23992.3,19460.6) ops/second in (1.250400,20.605732) seconds
2026/05/26-12:04:19  ... thread 1: (32000,394000) ops and (26282.8,19122.8) ops/second in (1.217527,20.603691) seconds
2026/05/26-12:04:19  ... thread 0: (33000,386000) ops and (25705.6,18701.4) ops/second in (1.283768,20.640210) seconds
2026/05/26-12:04:20  ... thread 3: (15000,416000) ops and (13004.2,19118.3) ops/second in (1.153474,21.759206) seconds
2026/05/26-12:04:20  ... thread 1: (16000,410000) ops and (13763.7,18836.6) ops/second in (1.162480,21.766171) seconds
2026/05/26-12:04:20  ... thread 2: (15000,392000) ops and (12629.2,18003.2) ops/second in (1.187719,21.773950) seconds
2026/05/26-12:04:20  ... thread 0: (16000,402000) ops and (13869.3,18445.6) ops/second in (1.153624,21.793834) seconds
2026/05/26-12:04:21  ... thread 2: (27000,419000) ops and (26829.6,18393.1) ops/second in (1.006351,22.780301) seconds
2026/05/26-12:04:21  ... thread 3: (30000,446000) ops and (29354.2,19577.5) ops/second in (1.022001,22.781207) seconds
2026/05/26-12:04:21  ... thread 0: (30000,432000) ops and (29692.7,18943.9) ops/second in (1.010350,22.804184) seconds
2026/05/26-12:04:22  ... thread 1: (33000,443000) ops and (18716.9,18827.6) ops/second in (1.763116,23.529287) seconds
2026/05/26-12:04:22  ... thread 0: (24000,456000) ops and (23931.0,19154.0) ops/second in (1.002883,23.807067) seconds
2026/05/26-12:04:22  ... thread 2: (8000,427000) ops and (7717.2,17928.4) ops/second in (1.036645,23.816946) seconds
2026/05/26-12:04:22  ... thread 3: (7000,453000) ops and (6672.0,19009.4) ops/second in (1.049162,23.830369) seconds
2026/05/26-12:04:23  ... thread 1: (22000,465000) ops and (21098.3,18924.0) ops/second in (1.042740,24.572027) seconds
2026/05/26-12:04:23  ... thread 0: (31000,487000) ops and (30742.5,19624.9) ops/second in (1.008375,24.815442) seconds
2026/05/26-12:04:23  ... thread 2: (28000,455000) ops and (27191.1,18312.3) ops/second in (1.029749,24.846695) seconds
2026/05/26-12:04:23  ... thread 3: (25000,478000) ops and (24083.7,19221.2) ops/second in (1.038046,24.868415) seconds
2026/05/26-12:04:24  ... thread 1: (21000,486000) ops and (17589.0,18862.1) ops/second in (1.193926,25.765953) seconds
2026/05/26-12:04:24  ... thread 0: (15000,502000) ops and (14705.0,19430.6) ops/second in (1.020061,25.835503) seconds
2026/05/26-12:04:24  ... thread 2: (11000,466000) ops and (10728.4,18011.7) ops/second in (1.025314,25.872009) seconds
2026/05/26-12:04:24  ... thread 3: (12000,490000) ops and (11820.3,18930.9) ops/second in (1.015203,25.883618) seconds
2026/05/26-12:04:25  ... thread 2: (29000,495000) ops and (26238.7,18348.8) ops/second in (1.105237,26.977246) seconds
2026/05/26-12:04:25  ... thread 0: (26000,528000) ops and (22724.9,19570.3) ops/second in (1.144117,26.979620) seconds
