RocksDB:    version 11.3.0
Date:       Tue May 26 11:58:00 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-11:58:01  ... thread 0: (30000,30000) ops and (29911.5,29911.5) ops/second in (1.002959,1.002959) seconds
2026/05/26-11:58:01  ... thread 1: (37000,37000) ops and (36671.7,36671.7) ops/second in (1.008952,1.008952) seconds
2026/05/26-11:58:01  ... thread 2: (37000,37000) ops and (35851.4,35851.4) ops/second in (1.032037,1.032037) seconds
2026/05/26-11:58:01  ... thread 3: (43000,43000) ops and (40993.8,40993.8) ops/second in (1.048940,1.048940) seconds
2026/05/26-11:58:02  ... thread 0: (32000,62000) ops and (31606.9,30763.2) ops/second in (1.012437,2.015396) seconds
2026/05/26-11:58:02  ... thread 1: (36000,73000) ops and (35518.5,36093.8) ops/second in (1.013557,2.022509) seconds
2026/05/26-11:58:02  ... thread 2: (38000,75000) ops and (37252.6,36547.9) ops/second in (1.020063,2.052100) seconds
2026/05/26-11:58:02  ... thread 3: (36000,79000) ops and (35335.2,38205.7) ops/second in (1.018813,2.067753) seconds
2026/05/26-11:58:03  ... thread 1: (20000,93000) ops and (15256.8,27899.4) ops/second in (1.310894,3.333403) seconds
2026/05/26-11:58:03  ... thread 3: (22000,101000) ops and (17145.7,30141.4) ops/second in (1.283123,3.350876) seconds
2026/05/26-11:58:03  ... thread 2: (24000,99000) ops and (18350.1,29464.3) ops/second in (1.307895,3.359995) seconds
2026/05/26-11:58:04  ... thread 0: (21000,83000) ops and (15571.6,24673.0) ops/second in (1.348605,3.364001) seconds
2026/05/26-11:58:04  ... thread 1: (27000,120000) ops and (26734.0,27628.4) ops/second in (1.009948,4.343351) seconds
2026/05/26-11:58:05  ... thread 3: (32000,133000) ops and (21752.4,27582.0) ops/second in (1.471103,4.821979) seconds
2026/05/26-11:58:05  ... thread 0: (29000,112000) ops and (19763.4,23181.9) ops/second in (1.467360,4.831361) seconds
2026/05/26-11:58:05  ... thread 2: (34000,133000) ops and (22299.2,27227.8) ops/second in (1.524720,4.884715) seconds
2026/05/26-11:58:05  ... thread 1: (19000,139000) ops and (18977.6,26007.9) ops/second in (1.001181,5.344532) seconds
2026/05/26-11:58:07  ... thread 3: (38000,171000) ops and (22007.7,26112.3) ops/second in (1.726669,6.548648) seconds
2026/05/26-11:58:07  ... thread 2: (25000,158000) ops and (14947.4,24095.5) ops/second in (1.672536,6.557251) seconds
2026/05/26-11:58:07  ... thread 1: (13000,152000) ops and (10698.9,23172.1) ops/second in (1.215080,6.559612) seconds
2026/05/26-11:58:07  ... thread 0: (31000,143000) ops and (17862.1,21776.0) ops/second in (1.735514,6.566875) seconds
2026/05/26-11:58:08  ... thread 1: (19000,171000) ops and (15416.6,21945.4) ops/second in (1.232439,7.792051) seconds
2026/05/26-11:58:08  ... thread 0: (14000,157000) ops and (11422.9,20147.6) ops/second in (1.225613,7.792488) seconds
2026/05/26-11:58:08  ... thread 3: (13000,184000) ops and (10179.3,23512.1) ops/second in (1.277100,7.825748) seconds
