RocksDB:    version 11.3.0
Date:       Tue May 26 10:00:59 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-10:01:00  ... thread 1: (41000,41000) ops and (40793.5,40793.5) ops/second in (1.005061,1.005061) seconds
2026/05/26-10:01:00  ... thread 3: (43000,43000) ops and (42441.2,42441.2) ops/second in (1.013166,1.013166) seconds
2026/05/26-10:01:00  ... thread 0: (38000,38000) ops and (37483.8,37483.8) ops/second in (1.013771,1.013771) seconds
2026/05/26-10:01:00  ... thread 2: (41000,41000) ops and (40210.3,40210.3) ops/second in (1.019638,1.019638) seconds
2026/05/26-10:01:02  ... thread 1: (41000,82000) ops and (31951.7,35835.3) ops/second in (1.283186,2.288247) seconds
2026/05/26-10:01:02  ... thread 2: (35000,76000) ops and (26050.9,32160.3) ops/second in (1.343524,2.363162) seconds
2026/05/26-10:01:02  ... thread 3: (35000,78000) ops and (24140.3,31668.4) ops/second in (1.449858,2.463024) seconds
2026/05/26-10:01:03  ... thread 0: (37000,75000) ops and (16914.8,23428.7) ops/second in (2.187434,3.201205) seconds
2026/05/26-10:01:03  ... thread 3: (2000,80000) ops and (1942.4,22905.2) ops/second in (1.029639,3.492663) seconds
2026/05/26-10:01:03  ... thread 2: (2000,78000) ops and (1553.2,21365.0) ops/second in (1.287661,3.650823) seconds
2026/05/26-10:01:03  ... thread 1: (3000,85000) ops and (1719.8,21078.2) ops/second in (1.744351,4.032598) seconds
2026/05/26-10:01:04  ... thread 0: (9000,84000) ops and (8800.8,19887.1) ops/second in (1.022634,4.223839) seconds
2026/05/26-10:01:04  ... thread 3: (20000,100000) ops and (19327.4,22087.4) ops/second in (1.034802,4.527465) seconds
2026/05/26-10:01:04  ... thread 2: (28000,106000) ops and (27926.1,22778.7) ops/second in (1.002645,4.653468) seconds
2026/05/26-10:01:04  ... thread 1: (39000,124000) ops and (38602.5,24589.1) ops/second in (1.010297,5.042895) seconds
2026/05/26-10:01:05  ... thread 0: (39000,123000) ops and (34926.9,23031.7) ops/second in (1.116617,5.340456) seconds
2026/05/26-10:01:05  ... thread 3: (35000,135000) ops and (34663.6,24380.7) ops/second in (1.009704,5.537169) seconds
2026/05/26-10:01:05  ... thread 2: (31000,137000) ops and (23472.9,22932.2) ops/second in (1.320672,5.974140) seconds
2026/05/26-10:01:06  ... thread 1: (21000,145000) ops and (11414.5,21067.4) ops/second in (1.839766,6.882661) seconds
2026/05/26-10:01:06  ... thread 0: (16000,139000) ops and (10317.0,20170.4) ops/second in (1.550838,6.891294) seconds
2026/05/26-10:01:06  ... thread 3: (6000,141000) ops and (4395.5,20428.3) ops/second in (1.365035,6.902204) seconds
2026/05/26-10:01:06  ... thread 2: (2000,139000) ops and (1715.5,19467.9) ops/second in (1.165818,7.139958) seconds
2026/05/26-10:01:07  ... thread 0: (3000,142000) ops and (2678.9,17725.3) ops/second in (1.119872,8.011166) seconds
2026/05/26-10:01:07  ... thread 3: (3000,144000) ops and (2463.1,17733.6) ops/second in (1.217976,8.120180) seconds
2026/05/26-10:01:08  ... thread 1: (3000,148000) ops and (2163.0,17896.9) ops/second in (1.386946,8.269607) seconds
2026/05/26-10:01:08  ... thread 2: (1000,140000) ops and (773.1,16600.5) ops/second in (1.293538,8.433496) seconds
2026/05/26-10:01:09  ... thread 3: (2000,146000) ops and (1778.3,15792.6) ops/second in (1.124675,9.244855) seconds
2026/05/26-10:01:09  ... thread 0: (3000,145000) ops and (2427.0,15680.3) ops/second in (1.236087,9.247253) seconds
2026/05/26-10:01:09  ... thread 1: (3000,151000) ops and (2946.2,16257.8) ops/second in (1.018253,9.287860) seconds
2026/05/26-10:01:09  ... thread 2: (12000,152000) ops and (11921.2,16101.5) ops/second in (1.006606,9.440102) seconds
2026/05/26-10:01:10  ... thread 3: (44000,190000) ops and (40244.8,18378.5) ops/second in (1.093310,10.338165) seconds
2026/05/26-10:01:10  ... thread 0: (38000,183000) ops and (34677.8,17693.0) ops/second in (1.095803,10.343056) seconds
2026/05/26-10:01:10  ... thread 1: (38000,189000) ops and (35963.4,18270.6) ops/second in (1.056630,10.344490) seconds
2026/05/26-10:01:10  ... thread 2: (37000,189000) ops and (36968.6,18101.8) ops/second in (1.000850,10.440952) seconds
2026/05/26-10:01:11  ... thread 2: (12000,201000) ops and (8826.4,17033.2) ops/second in (1.359552,11.800504) seconds
2026/05/26-10:01:11  ... thread 0: (16000,199000) ops and (10898.4,16848.5) ops/second in (1.468111,11.811167) seconds
2026/05/26-10:01:11  ... thread 1: (17000,206000) ops and (11616.9,17446.0) ops/second in (1.463389,11.807879) seconds
2026/05/26-10:01:11  ... thread 3: (16000,206000) ops and (10795.2,17427.6) ops/second in (1.482138,11.820303) seconds
2026/05/26-10:01:12  ... thread 2: (2000,203000) ops and (1754.5,15687.3) ops/second in (1.139930,12.940434) seconds
2026/05/26-10:01:13  ... thread 0: (2000,201000) ops and (1406.4,15189.0) ops/second in (1.422100,13.233267) seconds
2026/05/26-10:01:13  ... thread 3: (1000,207000) ops and (679.0,15572.0) ops/second in (1.472826,13.293129) seconds
2026/05/26-10:01:13  ... thread 1: (7000,213000) ops and (4251.5,15831.3) ops/second in (1.646479,13.454358) seconds
2026/05/26-10:01:13  ... thread 2: (1000,204000) ops and (844.6,14443.0) ops/second in (1.184046,14.124480) seconds
2026/05/26-10:01:14  ... thread 0: (3000,204000) ops and (2575.6,14168.6) ops/second in (1.164758,14.398025) seconds
2026/05/26-10:01:14  ... thread 3: (3000,210000) ops and (1884.8,14108.4) ops/second in (1.591663,14.884792) seconds
2026/05/26-10:01:15  ... thread 1: (1000,214000) ops and (581.8,14103.8) ops/second in (1.718861,15.173219) seconds
2026/05/26-10:01:15  ... thread 2: (2000,206000) ops and (1575.5,13381.9) ops/second in (1.269411,15.393891) seconds
2026/05/26-10:01:15  ... thread 0: (3000,207000) ops and (2959.6,13431.4) ops/second in (1.013662,15.411687) seconds
2026/05/26-10:01:15  ... thread 3: (26000,236000) ops and (25879.0,14852.6) ops/second in (1.004675,15.889467) seconds
2026/05/26-10:01:16  ... thread 1: (34000,248000) ops and (33707.3,15325.8) ops/second in (1.008685,16.181904) seconds
2026/05/26-10:01:16  ... thread 2: (38000,244000) ops and (33249.8,14755.0) ops/second in (1.142863,16.536754) seconds
2026/05/26-10:01:16  ... thread 0: (35000,242000) ops and (30976.4,14629.8) ops/second in (1.129894,16.541581) seconds
2026/05/26-10:01:16  ... thread 3: (36000,272000) ops and (32704.1,16009.2) ops/second in (1.100780,16.990247) seconds
2026/05/26-10:01:17  ... thread 1: (21000,269000) ops and (12328.8,15040.3) ops/second in (1.703329,17.885233) seconds
2026/05/26-10:01:17  ... thread 0: (15000,257000) ops and (11104.6,14363.7) ops/second in (1.350786,17.892367) seconds
2026/05/26-10:01:17  ... thread 2: (17000,261000) ops and (12513.2,14584.8) ops/second in (1.358566,17.895320) seconds
2026/05/26-10:01:18  ... thread 3: (3000,275000) ops and (2156.5,14960.8) ops/second in (1.391174,18.381421) seconds
2026/05/26-10:01:18  ... thread 0: (2000,259000) ops and (1726.6,13595.3) ops/second in (1.158351,19.050718) seconds
2026/05/26-10:01:19  ... thread 2: (3000,264000) ops and (1833.7,13516.7) ops/second in (1.636010,19.531330) seconds
2026/05/26-10:01:19  ... thread 1: (3000,272000) ops and (1489.1,13668.4) ops/second in (2.014623,19.899856) seconds
2026/05/26-10:01:19  ... thread 3: (3000,278000) ops and (1915.3,13936.4) ops/second in (1.566372,19.947793) seconds
2026/05/26-10:01:19  ... thread 0: (2000,261000) ops and (1966.9,13006.1) ops/second in (1.016817,20.067535) seconds
2026/05/26-10:01:20  ... thread 2: (24000,288000) ops and (23465.2,14011.8) ops/second in (1.022790,20.554120) seconds
2026/05/26-10:01:20  ... thread 1: (33000,305000) ops and (32254.2,14577.3) ops/second in (1.023121,20.922977) seconds
2026/05/26-10:01:20  ... thread 3: (37000,315000) ops and (36299.0,15023.5) ops/second in (1.019312,20.967105) seconds
2026/05/26-10:01:20  ... thread 0: (41000,302000) ops and (40977.5,14334.5) ops/second in (1.000550,21.068085) seconds
2026/05/26-10:01:21  ... thread 2: (31000,319000) ops and (30353.6,14785.3) ops/second in (1.021297,21.575417) seconds
2026/05/26-10:01:21  ... thread 3: (21000,336000) ops and (20492.4,15278.4) ops/second in (1.024770,21.991875) seconds
2026/05/26-10:01:22  ... thread 0: (18000,320000) ops and (16527.3,14442.3) ops/second in (1.089106,22.157191) seconds
2026/05/26-10:01:22  ... thread 2: (4000,323000) ops and (3472.3,14211.9) ops/second in (1.151964,22.727381) seconds
2026/05/26-10:01:22  ... thread 1: (24000,329000) ops and (13176.9,14465.1) ops/second in (1.821370,22.744347) seconds
2026/05/26-10:01:23  ... thread 0: (2000,322000) ops and (1803.1,13839.7) ops/second in (1.109188,23.266379) seconds
2026/05/26-10:01:23  ... thread 3: (2000,338000) ops and (1345.1,14396.0) ops/second in (1.486920,23.478795) seconds
2026/05/26-10:01:23  ... thread 1: (3000,332000) ops and (2437.8,13847.8) ops/second in (1.230639,23.974986) seconds
2026/05/26-10:01:23  ... thread 2: (3000,326000) ops and (2160.4,13518.0) ops/second in (1.388629,24.116010) seconds
2026/05/26-10:01:24  ... thread 3: (1000,339000) ops and (960.3,13825.4) ops/second in (1.041296,24.520091) seconds
2026/05/26-10:01:25  ... thread 2: (2000,328000) ops and (1919.8,13037.7) ops/second in (1.041802,25.157812) seconds
2026/05/26-10:01:25  ... thread 0: (2000,324000) ops and (1012.5,12835.9) ops/second in (1.975314,25.241693) seconds
2026/05/26-10:01:25  ... thread 1: (2000,334000) ops and (1230.1,13046.5) ops/second in (1.625844,25.600830) seconds
2026/05/26-10:01:26  ... thread 3: (4000,343000) ops and (2353.8,13081.9) ops/second in (1.699356,26.219447) seconds
2026/05/26-10:01:26  ... thread 2: (3000,331000) ops and (2775.5,12614.9) ops/second in (1.080899,26.238711) seconds
2026/05/26-10:01:26  ... thread 0: (4000,328000) ops and (3895.0,12486.4) ops/second in (1.026970,26.268663) seconds
2026/05/26-10:01:26  ... thread 1: (18000,352000) ops and (17712.9,13224.6) ops/second in (1.016207,26.617037) seconds
2026/05/26-10:01:27  ... thread 2: (30000,361000) ops and (25590.5,13169.9) ops/second in (1.172311,27.411022) seconds
2026/05/26-10:01:27  ... thread 0: (32000,360000) ops and (27657.4,13126.4) ops/second in (1.157016,27.425679) seconds
2026/05/26-10:01:27  ... thread 3: (34000,377000) ops and (28121.9,13744.8) ops/second in (1.209024,27.428471) seconds
2026/05/26-10:01:27  ... thread 1: (55000,407000) ops and (54156.0,14729.0) ops/second in (1.015585,27.632622) seconds
2026/05/26-10:01:28  ... thread 2: (13000,374000) ops and (8161.6,12894.8) ops/second in (1.592824,29.003846) seconds
2026/05/26-10:01:28  ... thread 0: (16000,376000) ops and (10104.3,12961.4) ops/second in (1.583479,29.009158) seconds
2026/05/26-10:01:28  ... thread 3: (18000,395000) ops and (11330.9,13612.7) ops/second in (1.588573,29.017044) seconds
2026/05/26-10:01:28  ... thread 1: (7000,414000) ops and (5003.3,14260.3) ops/second in (1.399065,29.031687) seconds
2026/05/26-10:01:29  ... thread 0: (3000,379000) ops and (2783.7,12596.9) ops/second in (1.077689,30.086847) seconds
2026/05/26-10:01:30  ... thread 3: (2000,397000) ops and (1627.0,13125.6) ops/second in (1.229221,30.246265) seconds
2026/05/26-10:01:30  ... thread 2: (4000,378000) ops and (2889.4,12439.0) ops/second in (1.384389,30.388235) seconds
2026/05/26-10:01:30  ... thread 1: (2000,416000) ops and (1145.0,13515.9) ops/second in (1.746780,30.778467) seconds
2026/05/26-10:01:31  ... thread 2: (3000,381000) ops and (2740.5,12101.8) ops/second in (1.094679,31.482914) seconds
2026/05/26-10:01:31  ... thread 0: (2000,381000) ops and (1302.1,12048.3) ops/second in (1.535930,31.622777) seconds
2026/05/26-10:01:31  ... thread 3: (2000,399000) ops and (1277.7,12542.6) ops/second in (1.565338,31.811603) seconds
2026/05/26-10:01:32  ... thread 1: (2000,418000) ops and (1266.4,12918.1) ops/second in (1.579265,32.357732) seconds
2026/05/26-10:01:32  ... thread 2: (7000,388000) ops and (6981.9,11943.8) ops/second in (1.002598,32.485512) seconds
2026/05/26-10:01:32  ... thread 0: (13000,394000) ops and (12756.9,12070.4) ops/second in (1.019053,32.641830) seconds
2026/05/26-10:01:32  ... thread 3: (18000,417000) ops and (17475.4,12697.3) ops/second in (1.030019,32.841622) seconds
2026/05/26-10:01:33  ... thread 2: (19000,407000) ops and (16028.1,12087.6) ops/second in (1.185421,33.670933) seconds
2026/05/26-10:01:33  ... thread 1: (24000,442000) ops and (18232.4,13125.8) ops/second in (1.316339,33.674071) seconds
2026/05/26-10:01:33  ... thread 0: (14000,408000) ops and (13382.7,12111.2) ops/second in (1.046123,33.687953) seconds
2026/05/26-10:01:33  ... thread 3: (8000,425000) ops and (7790.4,12548.5) ops/second in (1.026909,33.868531) seconds
2026/05/26-10:01:34  ... thread 2: (23000,430000) ops and (22667.0,12397.1) ops/second in (1.014691,34.685624) seconds
2026/05/26-10:01:34  ... thread 1: (17000,459000) ops and (16701.1,13230.7) ops/second in (1.017894,34.691965) seconds
2026/05/26-10:01:34  ... thread 0: (22000,430000) ops and (21428.6,12386.7) ops/second in (1.026664,34.714617) seconds
2026/05/26-10:01:34  ... thread 3: (23000,448000) ops and (22768.2,12844.5) ops/second in (1.010181,34.878712) seconds
2026/05/26-10:01:36  ... thread 0: (11000,441000) ops and (7044.2,12156.7) ops/second in (1.561575,36.276192) seconds
2026/05/26-10:01:36  ... thread 2: (12000,442000) ops and (7544.6,12184.3) ops/second in (1.590545,36.276169) seconds
2026/05/26-10:01:36  ... thread 3: (4000,452000) ops and (2851.2,12458.1) ops/second in (1.402934,36.281646) seconds
2026/05/26-10:01:36  ... thread 1: (14000,473000) ops and (8807.0,13036.9) ops/second in (1.589648,36.281613) seconds
2026/05/26-10:01:37  ... thread 0: (4000,445000) ops and (3233.0,11862.4) ops/second in (1.237238,37.513430) seconds
2026/05/26-10:01:37  ... thread 1: (4000,477000) ops and (2681.6,12628.0) ops/second in (1.491624,37.773237) seconds
2026/05/26-10:01:37  ... thread 2: (2000,444000) ops and (1188.7,11696.9) ops/second in (1.682453,37.958622) seconds
2026/05/26-10:01:37  ... thread 3: (3000,455000) ops and (1755.0,11976.5) ops/second in (1.709377,37.991023) seconds
