RocksDB:    version 11.3.0
Date:       Tue May 26 12:01:10 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-12:01:11  ... thread 0: (38000,38000) ops and (37503.7,37503.7) ops/second in (1.013234,1.013234) seconds
2026/05/26-12:01:11  ... thread 3: (42000,42000) ops and (41389.3,41389.3) ops/second in (1.014754,1.014754) seconds
2026/05/26-12:01:11  ... thread 1: (37000,37000) ops and (36086.5,36086.5) ops/second in (1.025315,1.025315) seconds
2026/05/26-12:01:11  ... thread 2: (37000,37000) ops and (36006.8,36006.8) ops/second in (1.027584,1.027584) seconds
2026/05/26-12:01:12  ... thread 3: (34000,76000) ops and (33801.1,37611.9) ops/second in (1.005885,2.020639) seconds
2026/05/26-12:01:12  ... thread 0: (38000,76000) ops and (37335.0,37419.1) ops/second in (1.017813,2.031047) seconds
2026/05/26-12:01:12  ... thread 1: (35000,72000) ops and (34619.8,35358.3) ops/second in (1.010982,2.036297) seconds
2026/05/26-12:01:12  ... thread 2: (33000,70000) ops and (32706.6,34371.8) ops/second in (1.008971,2.036555) seconds
2026/05/26-12:01:13  ... thread 0: (19000,95000) ops and (13828.7,27900.2) ops/second in (1.373950,3.404997) seconds
2026/05/26-12:01:13  ... thread 3: (19000,95000) ops and (13617.4,27811.0) ops/second in (1.395275,3.415914) seconds
2026/05/26-12:01:13  ... thread 2: (21000,91000) ops and (15266.3,26669.5) ops/second in (1.375579,3.412134) seconds
2026/05/26-12:01:13  ... thread 1: (22000,94000) ops and (15648.5,27308.3) ops/second in (1.405885,3.442182) seconds
2026/05/26-12:01:14  ... thread 0: (14000,109000) ops and (12474.6,24076.3) ops/second in (1.122278,4.527275) seconds
2026/05/26-12:01:14  ... thread 2: (20000,111000) ops and (17972.8,24530.8) ops/second in (1.112793,4.524927) seconds
2026/05/26-12:01:14  ... thread 3: (12000,107000) ops and (10766.3,23617.7) ops/second in (1.114584,4.530498) seconds
2026/05/26-12:01:14  ... thread 1: (17000,111000) ops and (15612.2,24497.5) ops/second in (1.088889,4.531071) seconds
2026/05/26-12:01:15  ... thread 2: (31000,142000) ops and (30881.0,25683.8) ops/second in (1.003855,5.528782) seconds
2026/05/26-12:01:15  ... thread 0: (38000,147000) ops and (37368.5,26514.3) ops/second in (1.016898,5.544173) seconds
2026/05/26-12:01:15  ... thread 3: (31000,138000) ops and (30359.0,24857.6) ops/second in (1.021114,5.551612) seconds
2026/05/26-12:01:15  ... thread 1: (35000,146000) ops and (33955.6,26250.4) ops/second in (1.030758,5.561829) seconds
2026/05/26-12:01:16  ... thread 3: (11000,149000) ops and (10316.6,22514.9) ops/second in (1.066241,6.617853) seconds
2026/05/26-12:01:16  ... thread 0: (11000,158000) ops and (10200.6,23857.9) ops/second in (1.078363,6.622536) seconds
2026/05/26-12:01:16  ... thread 2: (16000,158000) ops and (14615.7,23854.5) ops/second in (1.094712,6.623494) seconds
2026/05/26-12:01:16  ... thread 1: (13000,159000) ops and (11984.9,23922.3) ops/second in (1.084702,6.646531) seconds
2026/05/26-12:01:17  ... thread 3: (11000,160000) ops and (9829.3,20680.0) ops/second in (1.119099,7.736952) seconds
2026/05/26-12:01:17  ... thread 0: (17000,175000) ops and (15132.1,22592.4) ops/second in (1.123442,7.745978) seconds
2026/05/26-12:01:17  ... thread 2: (13000,171000) ops and (11607.7,22083.2) ops/second in (1.119942,7.743436) seconds
2026/05/26-12:01:17  ... thread 1: (21000,180000) ops and (18888.1,23200.8) ops/second in (1.111812,7.758343) seconds
2026/05/26-12:01:19  ... thread 0: (11000,186000) ops and (9594.7,20916.6) ops/second in (1.146466,8.892444) seconds
2026/05/26-12:01:19  ... thread 2: (13000,184000) ops and (11271.0,20681.5) ops/second in (1.153406,8.896842) seconds
2026/05/26-12:01:19  ... thread 3: (19000,179000) ops and (16248.0,20098.1) ops/second in (1.169376,8.906328) seconds
2026/05/26-12:01:19  ... thread 1: (19000,199000) ops and (15896.3,22225.7) ops/second in (1.195246,8.953589) seconds
2026/05/26-12:01:20  ... thread 2: (15000,199000) ops and (14862.8,20088.7) ops/second in (1.009232,9.906074) seconds
2026/05/26-12:01:20  ... thread 0: (18000,204000) ops and (17590.1,20573.3) ops/second in (1.023300,9.915744) seconds
2026/05/26-12:01:20  ... thread 3: (21000,200000) ops and (20431.1,20132.5) ops/second in (1.027843,9.934171) seconds
2026/05/26-12:01:20  ... thread 1: (17000,216000) ops and (16342.3,21613.3) ops/second in (1.040244,9.993833) seconds
2026/05/26-12:01:21  ... thread 2: (14000,213000) ops and (13151.4,19415.5) ops/second in (1.064527,10.970601) seconds
2026/05/26-12:01:21  ... thread 3: (16000,216000) ops and (15258.3,19667.2) ops/second in (1.048609,10.982780) seconds
2026/05/26-12:01:21  ... thread 0: (11000,215000) ops and (10313.9,19577.0) ops/second in (1.066525,10.982269) seconds
2026/05/26-12:01:21  ... thread 1: (13000,229000) ops and (12767.4,20795.4) ops/second in (1.018218,11.012051) seconds
2026/05/26-12:01:22  ... thread 3: (13000,229000) ops and (11825.6,18953.7) ops/second in (1.099314,12.082094) seconds
2026/05/26-12:01:22  ... thread 1: (10000,239000) ops and (9203.2,19754.3) ops/second in (1.086573,12.098624) seconds
2026/05/26-12:01:22  ... thread 0: (13000,228000) ops and (11532.6,18828.2) ops/second in (1.127235,12.109504) seconds
2026/05/26-12:01:22  ... thread 2: (27000,240000) ops and (23483.3,19801.4) ops/second in (1.149752,12.120353) seconds
2026/05/26-12:01:23  ... thread 0: (13000,241000) ops and (11501.5,18202.7) ops/second in (1.130283,13.239787) seconds
2026/05/26-12:01:23  ... thread 1: (13000,252000) ops and (11388.3,19033.0) ops/second in (1.141524,13.240148) seconds
2026/05/26-12:01:23  ... thread 3: (22000,251000) ops and (18747.7,18935.4) ops/second in (1.173480,13.255574) seconds
2026/05/26-12:01:23  ... thread 2: (14000,254000) ops and (12362.4,19165.7) ops/second in (1.132470,13.252823) seconds
2026/05/26-12:01:24  ... thread 2: (16000,270000) ops and (13792.0,18733.2) ops/second in (1.160096,14.412919) seconds
2026/05/26-12:01:24  ... thread 3: (14000,265000) ops and (11965.0,18370.1) ops/second in (1.170077,14.425651) seconds
2026/05/26-12:01:24  ... thread 0: (16000,257000) ops and (13479.3,17814.1) ops/second in (1.187003,14.426790) seconds
2026/05/26-12:01:24  ... thread 1: (15000,267000) ops and (12464.2,18485.7) ops/second in (1.203445,14.443593) seconds
2026/05/26-12:01:25  ... thread 0: (17000,274000) ops and (14870.8,17598.0) ops/second in (1.143183,15.569973) seconds
2026/05/26-12:01:25  ... thread 1: (15000,282000) ops and (13149.5,18095.1) ops/second in (1.140730,15.584323) seconds
2026/05/26-12:01:25  ... thread 2: (17000,287000) ops and (14512.6,18415.9) ops/second in (1.171398,15.584317) seconds
2026/05/26-12:01:25  ... thread 3: (14000,279000) ops and (11972.1,17890.3) ops/second in (1.169385,15.595036) seconds
2026/05/26-12:01:26  ... thread 2: (14000,301000) ops and (13111.7,18075.8) ops/second in (1.067748,16.652065) seconds
2026/05/26-12:01:26  ... thread 3: (14000,293000) ops and (13137.5,17586.3) ops/second in (1.065648,16.660684) seconds
2026/05/26-12:01:26  ... thread 0: (16000,290000) ops and (14377.6,17383.2) ops/second in (1.112843,16.682816) seconds
2026/05/26-12:01:26  ... thread 1: (18000,300000) ops and (16415.1,17984.7) ops/second in (1.096553,16.680876) seconds
2026/05/26-12:01:27  ... thread 0: (17000,307000) ops and (16278.2,17318.1) ops/second in (1.044341,17.727157) seconds
2026/05/26-12:01:27  ... thread 2: (15000,316000) ops and (13995.1,17829.1) ops/second in (1.071800,17.723865) seconds
2026/05/26-12:01:27  ... thread 3: (15000,308000) ops and (13925.8,17364.0) ops/second in (1.077139,17.737823) seconds
2026/05/26-12:01:27  ... thread 1: (15000,315000) ops and (14098.7,17751.7) ops/second in (1.063925,17.744801) seconds
2026/05/26-12:01:29  ... thread 0: (14000,321000) ops and (10709.9,16864.2) ops/second in (1.307197,19.034354) seconds
2026/05/26-12:01:29  ... thread 2: (17000,333000) ops and (12937.8,17491.5) ops/second in (1.313975,19.037840) seconds
2026/05/26-12:01:29  ... thread 1: (17000,332000) ops and (13105.6,17435.2) ops/second in (1.297153,19.041954) seconds
2026/05/26-12:01:29  ... thread 3: (14000,322000) ops and (10697.0,16905.9) ops/second in (1.308782,19.046605) seconds
